year,month,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,humidity_min,humidity_max,humidity_std,precipitation_mean,precipitation_sum,precipitation_max,wind_speed_mean,wind_speed_max,wind_speed_std,month_name
2023,1,2.33,-4.53,7.9,2.85,80.24,65.68,100.0,9.74,2.72,84.36,34.87,1.93,5.83,1.56,January
2023,2,7.29,1.03,16.26,4.11,77.75,56.23,95.77,10.87,6.92,193.74,82.61,2.82,6.43,1.92,February
2023,3,13.38,6.83,22.82,3.95,71.53,45.27,91.95,10.58,4.85,150.25,52.69,3.82,7.7,1.89,March
2023,4,20.91,14.89,27.52,2.85,66.75,47.6,88.85,9.1,3.14,94.33,9.69,5.4,10.55,2.07,April
2023,5,26.39,20.24,33.2,3.04,56.86,28.76,83.16,10.57,12.89,399.54,102.65,6.46,11.34,2.07,May
2023,6,30.95,24.97,38.21,3.3,47.76,32.81,67.74,7.19,14.6,437.99,92.66,7.33,12.06,2.29,June
2023,7,28.21,23.91,34.62,2.8,41.31,20.21,65.13,10.85,9.94,308.04,24.47,7.28,10.21,2.05,July
2023,8,23.84,15.84,30.93,3.95,38.55,21.74,59.74,9.93,8.97,278.0,26.42,7.61,10.41,1.61,August
2023,9,15.99,8.81,20.98,2.91,45.93,25.27,71.05,10.67,9.19,275.78,20.77,6.42,10.11,1.92,September
2023,10,9.15,3.01,19.31,3.87,54.8,30.68,82.01,11.44,4.93,152.86,58.41,5.11,9.96,2.18,October
2023,11,2.27,-4.62,8.06,3.19,65.71,48.13,90.82,10.72,7.89,236.7,89.71,3.26,6.97,1.78,November
2023,12,0.26,-5.7,6.16,2.89,75.09,57.77,100.0,11.48,5.83,180.76,92.74,2.39,7.36,2.03,December
2024,1,2.42,-2.62,10.31,3.67,79.53,60.19,100.0,10.91,2.95,91.35,8.53,2.5,6.62,1.87,January
2024,2,6.49,-2.03,13.85,4.21,78.0,60.43,93.51,8.21,2.55,73.97,7.44,2.49,5.84,1.51,February
2024,3,14.0,6.92,19.3,3.39,72.4,36.39,92.41,11.92,6.42,198.93,85.63,4.15,8.6,2.41,March
2024,4,21.87,14.2,28.78,3.97,64.93,45.96,78.88,7.56,4.33,129.96,58.09,5.8,9.65,2.05,April
2024,5,27.04,19.53,35.89,3.31,55.63,32.55,78.33,12.27,13.11,406.42,97.78,6.61,11.15,2.39,May
2024,6,29.58,24.15,37.76,3.52,46.12,25.17,79.29,11.23,8.74,262.22,25.12,6.74,10.32,1.96,June
2024,7,27.45,19.36,36.91,4.07,40.13,20.0,64.0,10.15,10.73,332.64,53.72,8.08,11.07,1.98,July
2024,8,23.69,14.36,36.23,4.17,38.83,23.43,57.83,7.05,8.31,257.49,14.07,7.61,11.69,2.26,August
2024,9,15.96,11.14,22.66,3.1,50.67,27.4,72.97,10.35,7.77,233.02,14.24,6.35,9.43,2.07,September
2024,10,7.0,-0.31,15.06,3.61,54.67,38.63,76.13,9.97,3.4,105.3,31.91,4.76,9.59,2.17,October
2024,11,2.79,-5.67,8.86,3.68,63.48,40.12,84.42,10.37,2.95,88.38,11.45,3.18,6.59,1.83,November
2024,12,0.23,-5.23,4.59,2.52,73.14,50.06,96.54,12.41,3.45,106.9,14.99,2.65,6.21,1.59,December
2025,1,1.57,-2.59,7.15,2.55,80.27,62.94,100.0,10.17,3.38,104.66,14.07,2.56,5.84,2.02,January
2025,2,5.92,0.06,13.52,3.37,77.36,53.71,100.0,11.53,3.35,93.92,11.23,2.91,5.59,1.57,February
2025,3,12.87,2.7,19.25,3.77,74.77,52.72,100.0,11.49,2.62,81.26,5.91,4.1,9.27,2.16,March
2025,4,21.72,12.72,32.35,3.96,64.13,40.09,89.58,12.46,2.84,85.34,8.17,4.47,8.29,1.67,April
2025,5,28.16,19.22,32.95,3.34,55.01,40.21,71.33,7.61,9.71,300.9,18.18,7.7,11.03,1.55,May
2025,6,29.52,24.41,35.3,3.11,44.01,27.47,66.6,9.48,8.83,264.96,13.57,7.16,12.24,2.15,June
2025,7,29.45,21.39,41.28,3.46,41.97,27.47,62.53,7.9,10.94,339.16,78.25,8.6,12.54,2.14,July
2025,8,23.06,15.7,32.52,3.7,40.81,27.88,53.21,6.85,10.1,313.07,52.43,7.18,10.82,2.2,August
2025,9,15.25,10.17,21.95,3.0,51.49,27.51,79.99,11.24,7.53,225.95,18.64,5.98,10.68,2.17,September
2025,10,8.93,3.6,15.84,3.23,55.91,29.33,79.99,13.91,2.71,84.04,11.0,5.11,9.95,2.09,October
2025,11,2.25,-3.24,7.98,3.27,59.57,46.77,76.31,7.73,2.27,68.0,9.2,2.72,6.6,1.76,November
2025,12,0.83,-5.15,5.9,2.97,74.97,55.41,98.05,11.27,2.76,85.61,13.33,2.04,6.71,1.52,December
