year,quarter,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,humidity_min,humidity_max,humidity_std,precipitation_mean,precipitation_sum,precipitation_max,wind_speed_mean,wind_speed_max,wind_speed_std,quarter_name
2023,1,7.68,-4.53,22.82,5.87,76.47,45.27,100.0,10.93,4.76,428.35,82.61,2.86,7.7,1.94,春季(Q1)
2023,2,26.09,14.89,38.21,5.1,57.12,28.76,88.85,11.86,10.24,931.86,102.65,6.39,12.06,2.26,夏季(Q2)
2023,3,22.75,8.81,34.62,6.0,41.89,20.21,71.05,10.81,9.37,861.81,26.42,7.11,10.41,1.91,秋季(Q3)
2023,4,3.91,-5.7,19.31,5.07,65.19,30.68,100.0,13.91,6.2,570.32,92.74,3.59,9.96,2.29,冬季(Q4)
2024,1,7.66,-2.62,19.3,6.13,76.61,36.39,100.0,10.85,4.0,364.24,85.63,3.06,8.6,2.11,春季(Q1)
2024,2,26.17,14.2,37.76,4.8,55.56,25.17,79.29,12.97,8.78,798.59,97.78,6.39,11.15,2.16,夏季(Q2)
2024,3,22.43,11.14,36.91,6.1,43.13,20.0,72.97,10.61,8.95,823.15,53.72,7.36,11.69,2.21,秋季(Q3)
2024,4,3.35,-5.67,15.06,4.32,63.77,38.63,96.54,13.26,3.27,300.57,31.91,3.53,9.59,2.07,冬季(Q4)
2025,1,6.82,-2.59,19.25,5.75,77.47,52.72,100.0,11.18,3.11,279.85,14.07,3.2,9.27,2.03,春季(Q1)
2025,2,26.49,12.72,35.3,4.85,54.39,27.47,89.58,12.88,7.16,651.2,18.18,6.46,12.24,2.28,夏季(Q2)
2025,3,22.67,10.17,41.28,6.72,44.69,27.47,79.99,9.96,9.55,878.18,78.25,7.27,12.54,2.4,秋季(Q3)
2025,4,4.02,-5.15,15.84,4.74,63.52,29.33,98.05,13.94,2.58,237.65,13.33,3.3,9.95,2.22,冬季(Q4)
