customer_id,region,age_group,gender,membership_level,registration_date
C0001,华南,36-45,男,银卡,2023-10-17
C0002,东北,36-45,女,普通,2022-04-25
C0003,华中,26-35,女,普通,2022-01-26
C0004,华北,46-55,女,普通,2022-10-09
C0005,华东,36-45,女,普通,2022-09-08
C0006,华东,26-35,女,普通,2022-08-17
C0007,华东,55+,女,银卡,2022-05-23
C0008,西北,46-55,女,银卡,2022-04-15
C0009,华北,55+,男,银卡,2023-11-24
C0010,华中,36-45,女,金卡,2023-07-13
C0011,华东,36-45,男,金卡,2022-03-31
C0012,东北,26-35,女,银卡,2023-08-28
C0013,西南,55+,女,钻石,2023-03-09
C0014,华东,46-55,男,普通,2022-02-02
C0015,华东,18-25,女,普通,2022-01-31
C0016,华东,18-25,女,普通,2022-04-06
C0017,华南,26-35,男,银卡,2022-08-12
C0018,华北,46-55,女,金卡,2022-08-27
C0019,华南,55+,女,普通,2023-06-02
C0020,华南,26-35,男,钻石,2023-09-09
C0021,华北,36-45,女,普通,2022-01-28
C0022,华东,26-35,男,钻石,2023-07-29
C0023,华南,55+,女,普通,2022-07-23
C0024,华南,46-55,女,普通,2023-10-28
C0025,华北,46-55,女,普通,2023-12-20
C0026,西南,26-35,女,普通,2023-07-13
C0027,华东,26-35,女,普通,2023-03-06
C0028,华北,26-35,女,普通,2022-08-14
C0029,华北,18-25,男,金卡,2023-04-05
C0030,华东,46-55,女,银卡,2023-08-27
C0031,华北,46-55,男,普通,2022-10-12
C0032,华东,55+,女,银卡,2022-01-07
C0033,华东,55+,男,银卡,2022-06-13
C0034,东北,36-45,男,普通,2023-12-16
C0035,东北,46-55,男,普通,2023-03-09
C0036,西南,55+,女,普通,2022-12-15
C0037,华南,46-55,男,普通,2022-10-12
C0038,华东,26-35,女,银卡,2022-06-09
C0039,华中,26-35,男,普通,2022-08-09
C0040,华南,18-25,男,银卡,2022-12-11
C0041,华东,55+,女,银卡,2022-04-15
C0042,华北,36-45,女,普通,2022-04-05
C0043,华东,26-35,男,银卡,2023-01-25
C0044,西北,36-45,女,普通,2022-04-10
C0045,华南,36-45,女,钻石,2023-01-03
C0046,华中,26-35,女,普通,2022-12-19
C0047,华南,18-25,男,金卡,2023-09-11
C0048,华北,36-45,男,银卡,2022-09-28
C0049,华北,36-45,女,普通,2022-02-14
C0050,华东,46-55,男,银卡,2023-04-16
C0051,东北,36-45,女,钻石,2023-07-04
C0052,西南,46-55,女,银卡,2022-05-08
C0053,东北,36-45,女,金卡,2023-01-23
C0054,西北,36-45,女,金卡,2022-03-22
C0055,华北,46-55,女,普通,2023-07-20
C0056,西北,26-35,男,普通,2022-10-28
C0057,华东,18-25,女,银卡,2023-10-06
C0058,华东,18-25,男,普通,2023-09-26
C0059,华东,46-55,女,金卡,2023-01-06
C0060,华南,36-45,女,钻石,2023-08-15
C0061,华南,36-45,女,普通,2022-07-16
C0062,华南,26-35,女,普通,2023-12-23
C0063,西南,18-25,女,金卡,2022-03-13
C0064,华南,18-25,男,普通,2022-02-16
C0065,华南,26-35,男,金卡,2023-11-09
C0066,华北,36-45,女,普通,2022-08-22
C0067,华东,26-35,男,银卡,2022-10-24
C0068,西南,26-35,男,普通,2022-03-23
C0069,华东,55+,男,银卡,2022-08-27
C0070,东北,26-35,男,普通,2022-04-14
C0071,西南,36-45,男,银卡,2023-01-25
C0072,华东,46-55,男,普通,2022-10-12
C0073,华东,26-35,男,银卡,2023-04-10
C0074,西南,36-45,男,金卡,2023-10-13
C0075,华中,46-55,女,普通,2023-01-09
C0076,华中,55+,男,普通,2022-06-16
C0077,西南,18-25,男,普通,2023-01-15
C0078,华东,55+,女,银卡,2022-12-30
C0079,华南,26-35,男,银卡,2022-08-03
C0080,华东,26-35,女,银卡,2023-11-18
C0081,西北,26-35,女,普通,2022-10-01
C0082,华北,55+,男,普通,2023-12-20
C0083,华南,26-35,男,银卡,2023-12-01
C0084,华东,26-35,女,普通,2023-10-26
C0085,华南,36-45,女,钻石,2022-03-15
C0086,华南,26-35,女,普通,2023-09-16
C0087,华中,18-25,女,银卡,2023-10-13
C0088,华中,18-25,男,普通,2022-06-25
C0089,西北,18-25,女,普通,2023-07-01
C0090,华北,26-35,男,银卡,2022-09-08
C0091,华东,18-25,女,银卡,2022-06-17
C0092,华中,36-45,女,钻石,2023-04-19
C0093,西南,26-35,女,普通,2023-01-24
C0094,华北,26-35,女,普通,2022-10-04
C0095,西南,46-55,男,银卡,2023-10-18
C0096,华北,26-35,男,银卡,2023-12-06
C0097,华北,36-45,男,普通,2023-07-25
C0098,华南,26-35,男,普通,2022-08-13
C0099,华东,26-35,女,普通,2023-12-03
C0100,华东,18-25,男,金卡,2022-11-29
C0101,华东,26-35,男,普通,2022-02-27
C0102,华中,26-35,女,普通,2022-08-23
C0103,华南,26-35,女,普通,2022-02-02
C0104,华北,18-25,女,普通,2022-11-20
C0105,西北,18-25,女,普通,2023-02-15
C0106,华东,26-35,男,银卡,2022-10-02
C0107,华南,26-35,男,普通,2022-03-09
C0108,西南,26-35,女,金卡,2022-08-05
C0109,华东,36-45,女,普通,2023-08-04
C0110,华东,36-45,男,银卡,2022-11-19
C0111,华南,18-25,女,金卡,2022-08-06
C0112,华东,46-55,男,银卡,2023-11-03
C0113,西北,36-45,男,银卡,2023-05-27
C0114,西南,18-25,女,普通,2023-02-10
C0115,华中,46-55,女,普通,2023-10-21
C0116,西北,55+,女,银卡,2023-04-15
