order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,payment_method,order_status
O00001,C0006,P011,2023-05-29 09:32:59,1,4817.34,4817.34,花呗,已完成
O00001,C0006,P093,2023-05-29 09:32:59,2,3269.28,6538.56,微信,已完成
O00001,C0006,P063,2023-05-29 09:32:59,3,4920.71,14762.13,微信,已取消
O00001,C0006,P098,2023-05-29 09:32:59,1,563.84,563.84,支付宝,已取消
O00001,C0006,P089,2023-05-29 09:32:59,2,1403.59,2807.18,支付宝,已取消
O00002,C0331,P003,2023-12-15 02:34:44,1,1367.03,1367.03,银行卡,已完成
O00002,C0331,P038,2023-12-15 02:34:44,1,4399.11,4399.11,支付宝,退款中
O00002,C0331,P052,2023-12-15 02:34:44,3,798.19,2394.57,微信,已完成
O00002,C0331,P032,2023-12-15 02:34:44,2,4033.95,8067.9,银行卡,已完成
O00003,C0340,P061,2023-10-14 15:02:23,3,4019.98,12059.94,银行卡,已完成
O00003,C0340,P068,2023-10-14 15:02:23,2,3599.57,7199.14,微信,已完成
O00003,C0340,P055,2023-10-14 15:02:23,3,1391.75,4175.25,支付宝,已完成
O00003,C0340,P071,2023-10-14 15:02:23,2,4097.13,8194.26,支付宝,已完成
O00003,C0340,P046,2023-10-14 15:02:23,3,3880.3,11640.9,支付宝,已完成
O00004,C0233,P033,2023-08-27 03:52:00,1,269.26,269.26,支付宝,已完成
O00004,C0233,P016,2023-08-27 03:52:00,3,998.51,2995.53,微信,已完成
O00004,C0233,P025,2023-08-27 03:52:00,2,2722.26,5444.52,花呗,已取消
O00005,C0062,P089,2024-08-15 00:14:38,1,1403.59,1403.59,微信,已完成
O00005,C0062,P025,2024-08-15 00:14:38,1,2722.26,2722.26,银行卡,已完成
O00005,C0062,P095,2024-08-15 00:14:38,2,3944.35,7888.7,支付宝,已完成
O00005,C0062,P036,2024-08-15 00:14:38,3,3786.19,11358.57,银行卡,已完成
O00005,C0062,P076,2024-08-15 00:14:38,3,1682.69,5048.07,微信,退款中
O00006,C0306,P025,2023-03-20 01:56:32,2,2722.26,5444.52,银行卡,已完成
O00006,C0306,P030,2023-03-20 01:56:32,2,3258.36,6516.72,支付宝,已完成
O00006,C0306,P023,2023-03-20 01:56:32,2,4302.1,8604.2,微信,已完成
O00007,C0008,P036,2023-04-09 07:40:38,1,3786.19,3786.19,支付宝,已取消
O00007,C0008,P007,2023-04-09 07:40:38,3,4533.12,13599.36,微信,已完成
O00007,C0008,P038,2023-04-09 07:40:38,3,4399.11,13197.33,银行卡,已完成
O00007,C0008,P017,2023-04-09 07:40:38,3,2325.02,6975.06,微信,已完成
O00007,C0008,P097,2023-04-09 07:40:38,2,3356.95,6713.9,支付宝,已完成
O00008,C0053,P037,2024-03-21 21:19:57,2,1032.36,2064.72,银行卡,已完成
O00009,C0246,P024,2023-09-22 15:13:08,1,347.67,347.67,银行卡,已完成
O00009,C0246,P033,2023-09-22 15:13:08,2,269.26,538.52,微信,已完成
O00009,C0246,P015,2023-09-22 15:13:08,1,1290.09,1290.09,微信,已完成
O00009,C0246,P052,2023-09-22 15:13:08,2,798.19,1596.38,支付宝,已完成
O00010,C0038,P088,2024-05-03 21:43:06,1,1143.63,1143.63,支付宝,已完成
