product_id,product_name,category,brand,price,cost,stock
P0001,服装商品1,服装,品牌B,461.62,300.33,32
P0002,服装商品2,服装,品牌E,123.04,78.71,112
P0003,服装商品3,服装,品牌D,806.41,404.17,427
P0004,图书商品4,图书,品牌E,330.99,186.6,164
P0005,家居商品5,家居,品牌E,766.59,346.52,32
P0006,服装商品6,服装,品牌D,281.15,126.64,189
P0007,食品商品7,食品,品牌E,444.27,183.13,51
P0008,图书商品8,图书,品牌A,779.89,517.76,41
P0009,电子产品商品9,电子产品,品牌A,17.15,10.5,303
P0010,美妆商品10,美妆,品牌D,422.06,256.49,105
P0011,食品商品11,食品,品牌E,643.43,344.31,122
P0012,食品商品12,食品,品牌A,614.43,355.68,367
P0013,玩具商品13,玩具,品牌A,615.93,362.26,400
P0014,美妆商品14,美妆,品牌A,354.38,201.04,98
P0015,服装商品15,服装,品牌A,986.74,577.91,441
P0016,家居商品16,家居,品牌B,469.57,226.77,99
P0017,服装商品17,服装,品牌D,798.65,438.66,81
P0018,电子产品商品18,电子产品,品牌C,63.49,30.82,222
P0019,美妆商品19,美妆,品牌D,340.95,140.81,379
P0020,电子产品商品20,电子产品,品牌B,925.61,414.13,14
P0021,玩具商品21,玩具,品牌A,519.75,347.47,369
P0022,玩具商品22,玩具,品牌C,596.78,313.74,382
P0023,运动商品23,运动,品牌A,237.76,118.37,50
P0024,家居商品24,家居,品牌B,740.37,379.56,112
P0025,服装商品25,服装,品牌D,476.28,198.28,223
P0026,食品商品26,食品,品牌E,224.0,120.18,198
P0027,运动商品27,运动,品牌B,145.04,85.52,499
P0028,美妆商品28,美妆,品牌B,210.19,86.1,291
P0029,电子产品商品29,电子产品,品牌A,287.8,188.65,234
P0030,图书商品30,图书,品牌C,179.49,83.63,151
P0031,食品商品31,食品,品牌E,791.65,531.73,295
P0032,家居商品32,家居,品牌E,95.61,52.28,110
P0033,玩具商品33,玩具,品牌C,838.62,339.1,219
P0034,家居商品34,家居,品牌D,255.35,146.53,456
P0035,食品商品35,食品,品牌A,914.62,480.48,22
P0036,电子产品商品36,电子产品,品牌E,991.36,406.54,271
P0037,图书商品37,图书,品牌A,484.48,259.55,123
P0038,服装商品38,服装,品牌A,562.9,342.22,208
P0039,家居商品39,家居,品牌C,141.38,66.69,46
P0040,电子产品商品40,电子产品,品牌C,484.99,217.54,235
P0041,电子产品商品41,电子产品,品牌D,976.66,616.81,447
P0042,图书商品42,图书,品牌C,193.1,113.55,360
P0043,电子产品商品43,电子产品,品牌A,861.78,444.22,353
P0044,运动商品44,运动,品牌C,535.61,282.68,138
P0045,家居商品45,家居,品牌A,789.81,462.94,171
P0046,电子产品商品46,电子产品,品牌C,519.59,346.25,56
P0047,图书商品47,图书,品牌E,371.93,153.33,187
P0048,食品商品48,食品,品牌A,651.69,370.31,396
P0049,家居商品49,家居,品牌C,147.02,69.33,58
P0050,玩具商品50,玩具,品牌E,740.01,489.4,359
