transaction_id,date,customer_id,product_id,quantity,unit_price,discount,total_amount,payment_method,channel
T00000001,2023-08-05,C000056,P0050,4,740.01,0.2,2368.03,支付宝,小程序
T00000002,2023-08-19,C000382,P0033,7,838.62,0.3,4109.24,银行卡,APP
T00000003,2023-04-02,C000545,P0028,4,210.19,0.3,588.53,支付宝,APP
T00000004,2023-01-04,C000971,P0022,5,596.78,0.0,2983.9,微信支付,小程序
T00000005,2023-11-11,C000894,P0047,8,371.93,0.1,2677.9,银行卡,APP
T00000006,2023-03-04,C000472,P0032,3,95.61,0.0,286.83,银行卡,网页
T00000007,2023-08-06,C000692,P0022,5,596.78,0.0,2983.9,银行卡,APP
T00000008,2023-05-31,C000428,P0023,1,237.76,0.1,213.98,银行卡,网页
T00000009,2023-11-22,C000611,P0003,2,806.41,0.0,1612.82,信用卡,APP
T00000010,2023-03-31,C000548,P0006,1,281.15,0.0,281.15,微信支付,小程序
T00000011,2023-09-10,C000915,P0028,3,210.19,0.0,630.57,信用卡,小程序
T00000012,2023-11-13,C000941,P0016,11,469.57,0.0,5165.27,支付宝,网页
T00000013,2023-07-10,C000151,P0003,9,806.41,0.2,5806.15,支付宝,网页
T00000014,2023-09-20,C000081,P0047,3,371.93,0.2,892.63,银行卡,网页
T00000015,2023-07-25,C000189,P0002,5,123.04,0.2,492.16,支付宝,网页
T00000016,2023-03-01,C000585,P0013,3,615.93,0.0,1847.79,微信支付,小程序
T00000017,2023-01-26,C000588,P0024,4,740.37,0.0,2961.48,信用卡,网页
T00000018,2023-12-19,C000191,P0050,6,740.01,0.0,4440.06,信用卡,APP
T00000019,2023-12-14,C000280,P0019,2,340.95,0.0,681.9,信用卡,小程序
T00000020,2023-03-08,C000274,P0018,4,63.49,0.15,215.87,银行卡,APP
T00000021,2023-04-24,C000019,P0015,3,986.74,0.0,2960.22,支付宝,小程序
T00000022,2023-05-28,C000730,P0047,5,371.93,0.3,1301.75,信用卡,小程序
T00000023,2023-08-04,C000610,P0041,4,976.66,0.1,3515.98,支付宝,网页
T00000024,2023-06-24,C000355,P0021,5,519.75,0.3,1819.12,信用卡,APP
T00000025,2023-09-30,C000175,P0045,4,789.81,0.0,3159.24,信用卡,APP
T00000026,2023-12-05,C000991,P0037,2,484.48,0.15,823.62,银行卡,APP
T00000027,2023-04-17,C000543,P0048,3,651.69,0.0,1955.07,银行卡,网页
T00000028,2023-08-20,C000479,P0044,1,535.61,0.15,455.27,微信支付,小程序
T00000029,2023-06-30,C000442,P0037,7,484.48,0.0,3391.36,银行卡,小程序
T00000030,2023-09-09,C000385,P0016,5,469.57,0.0,2347.85,信用卡,小程序
T00000031,2023-03-05,C000406,P0007,2,444.27,0.0,888.54,支付宝,小程序
T00000032,2023-05-29,C000886,P0012,2,614.43,0.3,860.2,信用卡,小程序
T00000033,2023-07-29,C000770,P0023,3,237.76,0.15,606.29,银行卡,网页
T00000034,2023-07-05,C000109,P0041,4,976.66,0.15,3320.64,信用卡,APP
T00000035,2023-07-26,C000775,P0032,5,95.61,0.1,430.25,微信支付,APP
T00000036,2023-07-24,C000004,P0019,9,340.95,0.3,2147.98,信用卡,小程序
T00000037,2023-03-30,C000930,P0044,1,535.61,0.1,482.05,信用卡,网页
T00000038,2023-07-30,C000652,P0013,1,615.93,0.0,615.93,支付宝,小程序
T00000039,2023-10-20,C000419,P0047,1,371.93,0.0,371.93,微信支付,APP
T00000040,2023-10-19,C000484,P0041,1,976.66,0.0,976.66,支付宝,小程序
T00000041,2023-11-04,C000399,P0042,11,193.1,0.0,2124.1,微信支付,网页
T00000042,2023-07-08,C000896,P0047,2,371.93,0.2,595.09,微信支付,网页
T00000043,2023-03-09,C000067,P0019,1,340.95,0.0,340.95,信用卡,网页
T00000044,2023-05-06,C000618,P0044,4,535.61,0.0,2142.44,微信支付,网页
T00000045,2023-09-14,C000114,P0042,5,193.1,0.3,675.85,银行卡,APP
T00000046,2023-05-06,C000740,P0030,1,179.49,0.0,179.49,支付宝,小程序
T00000047,2023-12-13,C000888,P0027,14,145.04,0.3,1421.39,信用卡,APP
T00000048,2023-08-02,C000905,P0017,6,798.65,0.3,3354.33,支付宝,网页
T00000049,2023-09-04,C000062,P0047,3,371.93,0.3,781.05,信用卡,小程序
T00000050,2023-01-21,C000410,P0024,5,740.37,0.2,2961.48,信用卡,网页
T00000051,2023-03-05,C000150,P0007,3,444.27,0.3,932.97,支付宝,小程序
T00000052,2023-03-28,C000423,P0024,3,740.37,0.0,2221.11,微信支付,网页
T00000053,2023-04-18,C000100,P0017,3,798.65,0.2,1916.76,支付宝,网页
T00000054,2023-12-30,C000771,P0032,5,95.61,0.0,478.05,银行卡,小程序
T00000055,2023-08-16,C000807,P0022,7,596.78,0.15,3550.84,银行卡,小程序
T00000056,2023-01-19,C000144,P0049,2,147.02,0.15,249.93,银行卡,APP
T00000057,2023-04-24,C000578,P0024,3,740.37,0.2,1776.89,银行卡,网页
T00000058,2023-03-23,C000650,P0037,3,484.48,0.1,1308.1,信用卡,小程序
T00000059,2023-05-31,C000762,P0010,2,422.06,0.0,844.12,银行卡,网页
T00000060,2023-05-12,C000234,P0041,1,976.66,0.3,683.66,微信支付,小程序
T00000061,2023-06-05,C000599,P0010,1,422.06,0.2,337.65,信用卡,网页
T00000062,2023-11-13,C000996,P0011,7,643.43,0.15,3828.41,银行卡,小程序
T00000063,2023-07-11,C000887,P0025,6,476.28,0.3,2000.38,信用卡,APP
T00000064,2023-09-05,C000015,P0025,1,476.28,0.0,476.28,微信支付,网页
T00000065,2023-04-16,C000154,P0015,3,986.74,0.15,2516.19,支付宝,小程序
T00000066,2023-04-11,C000511,P0023,4,237.76,0.15,808.38,支付宝,小程序
T00000067,2023-09-26,C000760,P0015,2,986.74,0.0,1973.48,支付宝,网页
T00000068,2023-11-17,C000975,P0007,6,444.27,0.0,2665.62,支付宝,APP
T00000069,2023-08-17,C000536,P0037,2,484.48,0.3,678.27,微信支付,小程序
T00000070,2023-11-30,C000234,P0016,7,469.57,0.15,2793.94,银行卡,小程序
T00000071,2023-05-23,C000761,P0006,2,281.15,0.2,449.84,支付宝,APP
T00000072,2023-09-25,C000063,P0020,2,925.61,0.0,1851.22,微信支付,小程序
