customer_id,first_purchase,last_purchase,purchase_count,total_spent,avg_order_value,order_value_std,total_quantity,unique_products,preferred_category,avg_purchase_interval,days_since_last_purchase,activity_status
C000001,2023-02-08,2023-10-24,6,10547.45,1757.9083333333335,1549.1056827914185,28,6,图书,51.6,68,近期活跃
C000002,2023-07-03,2023-12-03,5,8053.26,1610.652,1485.6690132798758,22,5,服装,38.25,28,活跃
C000003,2023-06-04,2023-11-06,6,16710.59,2785.0983333333334,2788.7544166556986,29,6,玩具,31.0,55,近期活跃
C000004,2023-02-02,2023-08-02,4,7097.23,1774.3075,830.7950578963503,19,4,电子产品,60.333333333333336,151,沉睡
C000005,2023-05-09,2023-09-28,3,1117.31,372.43666666666667,246.49802237205333,4,3,服装,71.0,94,沉睡
C000006,2023-06-03,2023-08-20,2,7124.08,3562.04,3635.490520521268,9,2,家居,78.0,133,沉睡
C000007,2023-01-18,2023-10-13,6,8394.32,1399.0533333333333,1112.2028344805935,19,5,玩具,53.6,79,近期活跃
C000008,2023-03-28,2023-11-20,5,3311.28,662.2560000000001,249.05583436249796,18,5,图书,59.25,41,近期活跃
C000009,2023-04-16,2023-11-05,6,7344.33,1224.055,1258.2032520821108,32,6,服装,40.6,56,近期活跃
C000010,2023-04-01,2023-06-11,3,3060.8,1020.2666666666668,1114.5279302167953,6,3,图书,35.5,203,流失
C000011,2023-01-20,2023-12-05,8,5468.97,683.62125,491.94557310561737,26,6,家居,45.57142857142857,26,活跃
C000012,2023-01-04,2023-12-26,7,14918.52,2131.217142857143,1522.0052956403088,29,7,食品,59.333333333333336,5,活跃
C000013,2023-01-13,2023-07-28,4,4499.7,1124.925,654.2422520493969,11,4,服装,65.33333333333333,156,沉睡
C000014,2023-01-05,2023-11-20,6,4675.8099999999995,779.3016666666666,425.8614337747275,24,6,家居,63.8,41,近期活跃
C000015,2023-04-05,2023-10-06,5,5333.049999999999,1066.61,923.4234922558554,16,5,家居,46.0,86,近期活跃
C000016,2023-01-23,2023-10-16,5,4824.44,964.8879999999999,545.9926599048746,10,5,图书,66.5,76,近期活跃
C000017,2023-05-23,2023-11-17,5,5661.05,1132.21,437.955358741048,25,5,家居,44.5,44,近期活跃
C000018,2023-01-03,2023-09-23,7,10620.4,1517.2,1225.9410424241453,30,6,图书,43.833333333333336,99,沉睡
C000019,2023-01-01,2023-11-29,9,15152.74,1683.6377777777777,1430.956164386053,26,8,服装,41.5,32,近期活跃
C000020,2023-05-09,2023-12-25,3,3716.71,1238.9033333333334,399.2260218639728,7,3,玩具,115.0,6,活跃
C000021,2023-02-02,2023-11-24,7,7268.92,1038.4171428571428,825.6499932520697,18,7,服装,49.166666666666664,37,近期活跃
C000022,2023-04-11,2023-11-13,5,6666.33,1333.266,1251.4950282282387,21,4,图书,54.0,48,近期活跃
C000023,2023-01-30,2023-08-07,4,7776.2,1944.05,1288.6479254888307,13,4,图书,63.0,146,沉睡
C000024,2023-01-05,2023-11-17,8,20093.23,2511.65375,2524.3217804049436,34,7,食品,45.142857142857146,44,近期活跃
C000025,2023-01-17,2023-11-06,7,13464.66,1923.5228571428572,1873.6774848651182,30,7,家居,48.833333333333336,55,近期活跃
C000026,2023-10-01,2023-10-22,2,1126.17,563.085,159.4737923610021,6,2,图书,21.0,70,近期活跃
C000027,2023-04-06,2023-10-16,5,8541.57,1708.3139999999999,1251.8527381365589,17,5,服装,48.25,76,近期活跃
C000028,2023-01-04,2023-07-17,4,6515.6900000000005,1628.9225000000001,602.0215405545442,20,4,服装,64.66666666666667,167,沉睡
C000029,2023-03-13,2023-10-27,5,9343.75,1868.75,1319.6919587540117,14,5,食品,57.0,65,近期活跃
