customer_id,first_purchase,last_purchase,purchase_days,total_revenue,avg_order_value,transaction_count,lifetime_days,purchase_frequency,predicted_clv,historical_clv
C000001,2023-02-08,2023-10-24,6,10547.45,1757.9083333333335,6,258,3.5152487961476724,12358.970304975925,10547.45
C000002,2023-07-03,2023-12-03,5,8053.26,1610.652,5,153,3.523166023166023,11349.188803088804,8053.26
C000003,2023-06-04,2023-11-06,6,16710.59,2785.0983333333334,6,155,4.211538461538462,23459.0975,16710.59
C000004,2023-02-02,2023-08-02,4,7097.23,1774.3075,4,181,2.673992673992674,9488.970512820511,7097.23
C000005,2023-05-09,2023-09-28,3,1117.31,372.43666666666667,3,142,2.1597633136094676,1608.7500986193295,1117.31
C000006,2023-06-03,2023-08-20,2,7124.08,3562.04,2,78,1.6478555304740405,11739.454627539502,7124.08
C000007,2023-01-18,2023-10-13,6,8394.32,1399.0533333333333,6,268,3.4597156398104265,9680.653396524485,8394.32
C000008,2023-03-28,2023-11-20,5,3311.28,662.2560000000001,5,237,3.03156146179402,4015.339534883721,3311.28
C000009,2023-04-16,2023-11-05,6,7344.33,1224.055,6,203,3.8556338028169015,9439.015669014085,7344.33
C000010,2023-04-01,2023-06-11,3,3060.8,1020.2666666666668,3,71,2.511467889908257,5124.73394495413,3060.8
C000011,2023-01-20,2023-12-05,8,5468.97,683.62125,8,319,4.269005847953217,5836.766228070176,5468.97
C000012,2023-01-04,2023-12-26,7,14918.52,2131.217142857143,7,356,3.5436893203883497,15104.742857142857,14918.52
C000013,2023-01-13,2023-07-28,4,4499.7,1124.925,4,196,2.6024955436720143,5855.224598930481,4499.7
C000014,2023-01-05,2023-11-20,6,4675.8099999999995,779.3016666666666,6,319,3.2017543859649127,4990.265058479533,4675.8099999999995
C000015,2023-04-05,2023-10-06,5,5333.049999999999,1066.61,5,184,3.3242258652094714,7091.305100182148,5333.049999999999
C000016,2023-01-23,2023-10-16,5,4824.44,964.8879999999999,5,266,2.892234548335975,5581.364817749604,4824.44
C000017,2023-05-23,2023-11-17,5,5661.05,1132.21,5,178,3.3609576427255985,7610.6197053407,5661.05
C000018,2023-01-03,2023-09-23,7,10620.4,1517.2,7,263,4.068471337579617,12345.369426751591,10620.4
C000019,2023-01-01,2023-11-29,9,15152.74,1683.6377777777777,9,332,4.7130559540889525,15870.158106169296,15152.74
C000020,2023-05-09,2023-12-25,3,3716.71,1238.9033333333334,3,230,1.8403361344537816,4559.997142857143,3716.71
C000021,2023-02-02,2023-11-24,7,7268.92,1038.4171428571428,7,295,3.871212121212121,8039.86606060606,7268.92
C000022,2023-04-11,2023-11-13,5,6666.33,1333.266,5,216,3.1411359724612735,8375.939586919105,6666.33
C000023,2023-01-30,2023-08-07,4,7776.2,1944.05,4,189,2.6353790613718413,10246.617328519857,7776.2
C000024,2023-01-05,2023-11-17,8,20093.23,2511.65375,8,316,4.2878120411160054,21538.998384728337,20093.23
C000025,2023-01-17,2023-11-06,7,13464.66,1923.5228571428572,7,293,3.8829787234042556,14937.996656534957,13464.66
C000026,2023-10-01,2023-10-22,2,1126.17,563.085,2,21,1.8911917098445594,2129.803367875648,1126.17
C000027,2023-04-06,2023-10-16,5,8541.57,1708.3139999999999,5,193,3.2706093189964154,11174.455376344084,8541.57
C000028,2023-01-04,2023-07-17,4,6515.6900000000005,1628.9225000000001,4,194,2.6118067978533093,8508.861717352414,6515.6900000000005
C000029,2023-03-13,2023-10-27,5,9343.75,1868.75,5,228,3.0775716694772344,11502.424114671163,9343.75
C000030,2023-03-29,2023-08-25,7,10302.63,1471.8042857142857,7,149,4.970817120622568,14632.139883268483,10302.63
C000031,2023-02-26,2023-11-06,5,8136.75,1627.35,5,253,2.953074433656958,9611.3713592233,8136.75
C000032,2023-01-13,2023-12-09,6,11494.13,1915.6883333333333,6,330,3.1510791366906474,12072.97107913669,11494.13
C000033,2023-02-26,2023-11-19,11,18754.38,1704.9436363636364,11,266,6.362916006339145,21696.826307448497,18754.38
C000034,2023-02-15,2023-12-16,5,12481.24,2496.248,5,304,2.7279521674140508,13619.29028400598,12481.24
C000035,2023-08-13,2023-10-10,2,4111.610000000001,2055.8050000000003,2,58,1.7257683215130024,7095.686288416076,4111.610000000001
C000036,2023-01-15,2023-04-28,2,2077.65,1038.825,2,103,1.5598290598290598,3240.778846153846,2077.65
