date,revenue,quantity,transactions,revenue_ma7,quantity_ma7
2023-01-01,25475.52,44,14,25475.52,44.0
2023-01-02,28930.19,61,20,27202.855,52.5
2023-01-03,31425.06,55,16,28610.256666666668,53.333333333333336
2023-01-04,37178.67,66,21,30752.36,56.5
2023-01-05,16133.14,43,13,27828.516000000003,53.8
2023-01-06,3656.1800000000003,7,3,23799.793333333335,46.0
2023-01-07,14695.95,40,13,22499.244285714285,45.142857142857146
2023-01-08,23962.17,37,12,22283.05142857143,44.142857142857146
2023-01-09,22038.14,56,18,21298.472857142857,43.42857142857143
2023-01-10,11745.710000000001,27,9,18487.13714285714,39.42857142857143
2023-01-11,26305.82,65,22,16933.87285714286,39.285714285714285
2023-01-12,17147.56,48,14,17078.79,40.0
2023-01-13,25060.23,49,16,20136.51142857143,46.0
2023-01-14,22998.22,51,15,21322.55,47.57142857142857
2023-01-15,9666.83,26,12,19280.358571428573,46.0
2023-01-16,37021.64,69,20,21420.858571428573,47.857142857142854
2023-01-17,17319.59,45,13,22217.127142857145,50.42857142857143
2023-01-18,29146.190000000002,56,16,22622.894285714287,49.142857142857146
2023-01-19,19251.04,39,13,22923.39142857143,47.857142857142854
2023-01-20,19289.72,41,16,22099.032857142858,46.714285714285715
2023-01-21,13385.8,33,9,20725.829999999998,44.142857142857146
2023-01-22,18420.25,45,14,21976.318571428572,46.857142857142854
2023-01-23,7044.97,22,8,17693.937142857143,40.142857142857146
2023-01-24,11940.72,34,13,16925.527142857143,38.57142857142857
2023-01-25,27066.73,50,16,16628.461428571427,37.714285714285715
2023-01-26,31902.649999999998,58,15,18435.834285714285,40.42857142857143
2023-01-27,12770.06,24,8,17504.454285714284,38.0
2023-01-28,18574.36,51,17,18245.67714285714,40.57142857142857
2023-01-29,10858.539999999999,25,9,17165.432857142856,37.714285714285715
2023-01-30,20124.69,45,13,19033.964285714286,41.0
2023-01-31,23884.64,44,14,20740.23857142857,42.42857142857143
2023-02-01,12522.92,44,14,18662.551428571427,41.57142857142857
2023-02-02,33019.49,68,22,18822.100000000002,43.0
2023-02-03,23754.23,53,17,20391.26714285714,47.142857142857146
2023-02-04,17358.38,42,12,20217.55571428571,45.857142857142854
2023-02-05,15378.71,36,10,20863.294285714284,47.42857142857143
2023-02-06,16249.01,35,10,20309.62571428571,46.0
2023-02-07,8244.67,21,8,18075.344285714287,42.714285714285715
2023-02-08,21863.2,55,20,19409.670000000002,44.285714285714285
2023-02-09,11381.49,26,9,16318.527142857143,38.285714285714285
2023-02-10,17411.7,47,14,15412.451428571429,37.42857142857143
2023-02-11,8873.31,22,10,14200.298571428571,34.57142857142857
2023-02-12,16836.09,33,12,14408.495714285715,34.142857142857146
2023-02-13,20624.47,39,12,15033.561428571427,34.714285714285715
2023-02-14,14376.01,38,13,15909.467142857144,37.142857142857146
2023-02-15,34833.86,65,20,17762.418571428574,38.57142857142857
2023-02-16,18787.6,41,14,18820.434285714287,40.714285714285715
2023-02-17,20111.47,42,16,19206.115714285716,40.0
2023-02-18,15061.76,33,11,20090.18,41.57142857142857
2023-02-19,18743.95,32,14,20362.731428571427,41.42857142857143
2023-02-20,10461.2,21,7,18910.835714285717,38.857142857142854
2023-02-21,17756.97,47,16,19393.829999999998,40.142857142857146
2023-02-22,21209.5,48,18,17447.492857142857,37.714285714285715
2023-02-23,12563.7,42,12,16558.364285714288,37.857142857142854
2023-02-24,21821.58,51,17,16802.665714285715,39.142857142857146
2023-02-25,22093.09,42,14,17807.14142857143,40.42857142857143
2023-02-26,17546.41,38,13,17636.06428571429,41.285714285714285
2023-02-27,12041.289999999999,34,13,17861.79142857143,43.142857142857146
2023-02-28,10055.3,20,6,16761.55285714286,39.285714285714285
2023-03-01,15352.09,34,12,15924.78,37.285714285714285
2023-03-02,17980.059999999998,34,11,16698.545714285716,36.142857142857146
2023-03-03,12062.68,33,12,15304.41714285714,33.57142857142857
2023-03-04,14504.4,40,13,14220.31857142857,33.285714285714285
2023-03-05,25873.48,56,17,15409.9,35.857142857142854
2023-03-06,8785.880000000001,28,11,14944.841428571428,35.0
2023-03-07,22191.77,43,15,16678.622857142855,38.285714285714285
2023-03-08,9642.27,32,13,15862.934285714286,38.0
2023-03-09,27318.02,58,20,17196.928571428572,41.42857142857143
2023-03-10,29042.33,59,19,19622.59285714286,45.142857142857146
2023-03-11,26267.88,57,21,21303.09,47.57142857142857
2023-03-12,20155.72,50,17,20486.26714285714,46.714285714285715
2023-03-13,24184.489999999998,46,15,22686.068571428572,49.285714285714285
2023-03-14,22176.4,53,17,22683.87285714286,50.714285714285715
2023-03-15,15735.289999999999,28,9,23554.304285714286,50.142857142857146
2023-03-16,18504.93,39,12,22295.29142857143,47.42857142857143
2023-03-17,12670.25,24,10,19956.422857142858,42.42857142857143
2023-03-18,19258.2,40,13,18955.04,40.0
2023-03-19,17946.379999999997,35,9,18639.42,37.857142857142854
2023-03-20,20939.84,44,13,18175.898571428574,37.57142857142857
2023-03-21,15924.15,40,13,17282.719999999998,35.714285714285715
2023-03-22,17381.55,54,15,17517.899999999998,39.42857142857143
2023-03-23,17077.78,45,15,17314.02142857143,40.285714285714285
2023-03-24,7782.63,31,13,16615.79,41.285714285714285
2023-03-25,17098.670000000002,43,12,16307.285714285714,41.714285714285715
2023-03-26,18312.28,29,10,16359.557142857142,40.857142857142854
2023-03-27,13944.11,31,13,15360.167142857144,39.0
2023-03-28,20214.14,41,16,15973.022857142858,39.142857142857146
2023-03-29,21444.14,35,11,16553.39285714286,36.42857142857143
2023-03-30,24278.11,53,17,17582.01142857143,37.57142857142857
2023-03-31,25618.34,56,18,20129.97,41.142857142857146
2023-04-01,19926.63,47,15,20533.964285714286,41.714285714285715
2023-04-02,16325.74,39,12,20250.172857142858,43.142857142857146
2023-04-03,18149.36,53,16,20850.92285714286,46.285714285714285
2023-04-04,10062.58,24,9,19400.7,43.857142857142854
2023-04-05,19785.3,41,15,19163.722857142857,44.714285714285715
2023-04-06,15613.46,45,16,17925.91571428571,43.57142857142857
2023-04-07,23127.010000000002,52,16,17570.011428571426,43.0
2023-04-08,14590.94,38,13,16807.769999999997,41.714285714285715
2023-04-09,10141.05,25,8,15924.242857142857,39.714285714285715
2023-04-10,13929.08,38,15,15321.345714285713,37.57142857142857
2023-04-11,11420.6,26,9,15515.348571428573,37.857142857142854
2023-04-12,19396.64,44,14,15459.825714285715,38.285714285714285
2023-04-13,12905.51,34,12,15072.975714285714,36.714285714285715
2023-04-14,23445.7,46,12,15118.502857142857,35.857142857142854
2023-04-15,29964.67,64,17,17314.75,39.57142857142857
2023-04-16,26347.12,64,19,19629.902857142857,45.142857142857146
2023-04-17,18003.38,37,14,20211.945714285714,45.0
2023-04-18,21344.38,42,15,21629.62857142857,47.285714285714285
2023-04-19,22441.99,39,14,22064.678571428572,46.57142857142857
2023-04-20,20078.2,47,18,23089.34857142857,48.42857142857143
2023-04-21,11213.11,42,12,21341.83571428571,47.857142857142854
2023-04-22,22123.17,43,14,20221.62142857143,44.857142857142854
2023-04-23,14864.87,39,13,18581.3,41.285714285714285
2023-04-24,24723.48,48,16,19541.31428571429,42.857142857142854
2023-04-25,7444.64,17,7,17555.637142857144,39.285714285714285
2023-04-26,20722.13,50,17,17309.942857142854,40.857142857142854
2023-04-27,17091.27,42,13,16883.23857142857,40.142857142857146
2023-04-28,27393.02,69,18,19194.654285714285,44.0
2023-04-29,21490.81,42,15,19104.317142857144,43.857142857142854
2023-04-30,10379.26,31,12,18463.515714285713,42.714285714285715
2023-05-01,12225.07,23,9,16678.028571428575,39.142857142857146
2023-05-02,11607.74,18,7,17272.757142857143,39.285714285714285
2023-05-03,24564.23,52,13,17821.628571428573,39.57142857142857
2023-05-04,15081.929999999998,28,8,17534.579999999998,37.57142857142857
2023-05-05,20314.3,47,14,16523.334285714285,34.42857142857143
2023-05-06,17223.05,48,18,15913.654285714287,35.285714285714285
2023-05-07,19165.16,42,16,17168.782857142858,36.857142857142854
2023-05-08,33320.74,58,20,20182.45,41.857142857142854
2023-05-09,14970.47,42,13,20662.84,45.285714285714285
2023-05-10,18203.469999999998,41,13,19754.16,43.714285714285715
2023-05-11,15234.81,28,9,19776.0,43.714285714285715
2023-05-12,20149.11,45,14,19752.40142857143,43.42857142857143
2023-05-13,36090.25,58,18,22447.71571428571,44.857142857142854
2023-05-14,16361.15,47,18,22047.14285714285,45.57142857142857
2023-05-15,33189.02,75,22,22028.325714285715,48.0
2023-05-16,18748.829999999998,35,11,22568.091428571428,47.0
2023-05-17,15059.029999999999,37,14,22118.885714285712,46.42857142857143
2023-05-18,18479.45,44,14,22582.405714285713,48.714285714285715
2023-05-19,12178.39,30,12,21443.731428571427,46.57142857142857
2023-05-20,16907.34,38,14,18703.315714285716,43.714285714285715
2023-05-21,14756.33,31,9,18474.055714285714,41.42857142857143
2023-05-22,29769.98,56,15,17985.621428571427,38.714285714285715
2023-05-23,16418.89,31,10,17652.772857142856,38.142857142857146
2023-05-24,11810.789999999999,36,13,17188.73857142857,38.0
2023-05-25,15244.53,31,11,16726.60714285714,36.142857142857146
2023-05-26,21000.78,52,18,17986.94857142857,39.285714285714285
2023-05-27,26017.7,52,15,19288.428571428572,41.285714285714285
2023-05-28,12283.06,29,10,18935.104285714282,41.0
2023-05-29,17237.34,52,15,17144.727142857144,40.42857142857143
2023-05-30,25455.870000000003,51,17,18435.72428571429,43.285714285714285
2023-05-31,16988.8,36,14,19175.440000000002,43.285714285714285
2023-06-01,14752.42,42,10,19105.13857142857,44.857142857142854
2023-06-02,17912.96,44,10,18664.02142857143,43.714285714285715
