feature,importance
sales_rolling_mean_7,0.36013923420947047
sales_rolling_std_7,0.08747542182908552
sales_rolling_mean_14,0.08073613011373783
sales_lag_7,0.06401440715682635
sales_lag_30,0.06213738464729577
sales_lag_1,0.057792319202063513
sales_rolling_std_14,0.05590948089562634
sales_rolling_std_30,0.044473774065682314
day,0.042394541908523424
sales_rolling_mean_30,0.04133319722386259
sales_lag_14,0.04129245333504435
dayofweek,0.028814835762197826
trend,0.015527734818599311
dayofyear,0.013873011775120028
is_month_end,0.0015671201628015689
quarter,0.0012794430903123105
is_weekend,0.0011294947229001043
is_month_start,0.00011001508085055144
year,0.0
