year_month,revenue,quantity,transactions,unique_customers,revenue_growth,quantity_growth,yoy_growth,mom_growth,cumulative,year_month_str
2023-01,634420.98,1356,432,351,,,,,634420.98,2023-01
2023-02,490981.36,1115,374,303,-22.609532868853112,-17.772861356932157,,-22.609532868853112,1125402.3399999999,2023-02
2023-03,579668.26,1291,432,344,18.063190830706887,15.78475336322871,,18.063190830706887,1705070.5999999999,2023-03
2023-04,544445.1,1268,416,341,-6.0764341314806565,-1.7815646785437678,,-6.0764341314806565,2249515.6999999997,2023-04
2023-05,596057.61,1293,424,348,9.479837361012166,1.971608832807581,,9.479837361012166,2845573.3099999996,2023-05
2023-06,839076.07,1844,419,335,40.77096843038377,42.61407579273009,,40.77096843038377,3684649.3799999994,2023-06
2023-07,751919.72,1835,426,349,-10.387180985866983,-0.48806941431670525,,-10.387180985866983,4436569.1,2023-07
2023-08,833699.44,1877,443,358,10.876123850030162,2.288828337874649,,10.876123850030162,5270268.539999999,2023-08
2023-09,568262.7,1228,396,328,-31.83842129005149,-34.57645178476292,,-31.83842129005149,5838531.239999999,2023-09
2023-10,541738.33,1241,425,361,-4.6676246742923695,1.0586319218240936,,-4.6676246742923695,6380269.569999999,2023-10
2023-11,1223551.24,2590,410,333,125.85650160659667,108.7026591458501,,125.85650160659667,7603820.81,2023-11
2023-12,1117342.47,2521,403,333,-8.6803696100214,-2.6640926640926654,,-8.6803696100214,8721163.28,2023-12
