customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment,customer_segment
C000001,68,6,10547.45,2,4,4,10,244,重要挽留客户
C000002,28,5,8053.26,4,3,3,10,433,重要保持客户
C000003,55,6,16710.59,3,4,5,12,345,重要挽留客户
C000004,151,4,7097.23,1,2,3,6,123,低价值客户
C000005,94,3,1117.31,2,1,1,4,211,低价值客户
C000006,133,2,7124.08,1,1,3,5,113,低价值客户
C000007,79,6,8394.32,2,4,3,9,243,一般保持客户
C000008,41,5,3311.28,3,3,1,7,331,一般价值客户
C000009,56,6,7344.33,3,4,3,10,343,一般保持客户
C000010,203,3,3060.8,1,1,1,3,111,低价值客户
C000011,26,8,5468.97,4,5,2,11,452,重要保持客户
C000012,5,7,14918.52,5,4,5,14,545,重要价值客户
C000013,156,4,4499.7,1,2,2,5,122,低价值客户
C000014,41,6,4675.8099999999995,3,4,2,9,342,一般保持客户
C000015,86,5,5333.049999999999,2,3,2,7,232,低价值客户
C000016,76,5,4824.44,2,3,2,7,232,低价值客户
C000017,44,5,5661.05,3,3,2,8,332,一般价值客户
C000018,99,7,10620.4,2,4,4,10,244,重要挽留客户
C000019,32,9,15152.74,4,5,5,14,455,重要价值客户
C000020,6,3,3716.71,5,1,1,7,511,新客户
C000021,37,7,7268.92,4,4,3,11,443,重要保持客户
C000022,48,5,6666.33,3,3,2,8,332,一般价值客户
C000023,146,4,7776.2,1,2,3,6,123,低价值客户
C000024,44,8,20093.23,3,5,5,13,355,重要挽留客户
C000025,55,7,13464.66,3,4,5,12,345,重要挽留客户
C000026,70,2,1126.17,2,1,1,4,211,低价值客户
C000027,76,5,8541.57,2,3,3,8,233,低价值客户
C000028,167,4,6515.6900000000005,1,2,2,5,122,低价值客户
C000029,65,5,9343.75,3,3,4,10,334,潜力客户
C000030,128,7,10302.63,1,4,4,9,144,重要挽留客户
C000031,55,5,8136.75,3,3,3,9,333,一般价值客户
C000032,22,6,11494.13,4,4,4,12,444,重要价值客户
C000033,42,11,18754.38,3,5,5,13,355,重要挽留客户
C000034,15,5,12481.24,5,3,4,12,534,重要保持客户
C000035,82,2,4111.610000000001,2,1,2,5,212,低价值客户
C000036,247,2,2077.65,1,1,1,3,111,低价值客户
C000037,70,7,8048.54,2,4,3,9,243,一般保持客户
C000038,172,2,2640.33,1,1,1,3,111,低价值客户
C000039,12,3,8868.45,5,1,3,9,513,重要发展客户
C000040,112,4,6134.48,1,2,2,5,122,低价值客户
C000041,174,7,7627.88,1,4,3,8,143,一般保持客户
C000042,166,3,6647.160000000001,1,1,2,4,112,低价值客户
C000043,29,10,22914.920000000002,4,5,5,14,455,重要价值客户
