用户ID,订单时间,商品类别,单价,数量,订单金额,评分,支付方式,日期,月份,星期,小时
USER_0103,2023-02-21 21:14:42,美妆护肤,306.49,3,919.47,4.0,支付宝,2023-02-21,2023-02,Tuesday,21
USER_0373,2023-04-10 16:23:02,电子产品,2294.88875,2,6641.0175,5.0,支付宝,2023-04-10,2023-04,Monday,16
USER_0277,2023-02-02 20:57:21,电子产品,213.01,2,426.02,4.0,支付宝,2023-02-02,2023-02,Thursday,20
USER_0190,2023-03-03 11:43:54,图书音像,104.02,5,520.1,5.0,支付宝,2023-03-03,2023-03,Friday,11
USER_0274,2023-01-04 17:59:13,美妆护肤,166.21,4,664.84,2.0,支付宝,2023-01-04,2023-01,Wednesday,17
USER_0455,2023-02-13 21:07:46,电子产品,2016.2,4,6641.0175,3.0,支付宝,2023-02-13,2023-02,Monday,21
USER_0390,2023-02-23 18:03:53,电子产品,2294.88875,2,6641.0175,4.0,微信支付,2023-02-23,2023-02,Thursday,18
USER_0270,2023-04-05 16:13:22,食品饮料,192.62,5,963.1,5.0,支付宝,2023-04-05,2023-04,Wednesday,16
USER_0053,2023-01-24 18:24:59,家居用品,297.72,5,1488.6,3.0,支付宝,2023-01-24,2023-01,Tuesday,18
USER_0521,2023-03-29 09:43:07,电子产品,2294.88875,3,6641.0175,5.0,微信支付,2023-03-29,2023-03,Wednesday,9
USER_0379,2023-01-05 18:38:57,电子产品,2294.88875,2,6641.0175,4.0,支付宝,2023-01-05,2023-01,Thursday,18
USER_0503,2023-01-23 16:36:34,食品饮料,62.2,3,186.6,4.0,支付宝,2023-01-23,2023-01,Monday,16
USER_0462,2023-01-03 09:04:25,电子产品,1354.73,2,2709.46,1.0,支付宝,2023-01-03,2023-01,Tuesday,9
USER_0461,2023-02-20 15:48:51,食品饮料,142.15,5,710.75,3.0,微信支付,2023-02-20,2023-02,Monday,15
USER_0541,2023-02-05 21:31:06,服装鞋帽,170.92,5,854.6,5.0,支付宝,2023-02-05,2023-02,Sunday,21
USER_0028,2023-04-18 20:19:29,运动户外,682.47,1,682.47,2.0,支付宝,2023-04-18,2023-04,Tuesday,20
USER_0225,2023-01-01 17:26:56,美妆护肤,433.15,3,1110.13,1.0,支付宝,2023-01-01,2023-01,Sunday,17
USER_0225,2023-02-20 18:43:23,图书音像,78.18,1,78.18,4.0,支付宝,2023-02-20,2023-02,Monday,18
USER_0497,2023-02-27 12:11:38,食品饮料,67.17,1,67.17,3.0,支付宝,2023-02-27,2023-02,Monday,12
USER_0002,2023-01-02 20:53:22,服装鞋帽,731.2,2,1462.4,3.0,微信支付,2023-01-02,2023-01,Monday,20
USER_0416,2023-04-29 12:54:10,服装鞋帽,231.62,5,1158.1,5.0,微信支付,2023-04-29,2023-04,Saturday,12
USER_0198,2023-03-27 19:47:15,美妆护肤,173.97,5,869.85,3.0,微信支付,2023-03-27,2023-03,Monday,19
USER_0403,2023-03-31 11:18:19,家居用品,199.14,2,398.28,4.0,微信支付,2023-03-31,2023-03,Friday,11
USER_0473,2023-02-19 15:30:29,家居用品,251.69,1,251.69,3.0,微信支付,2023-02-19,2023-02,Sunday,15
USER_0002,2023-01-01 20:04:36,运动户外,417.98,3,1253.94,3.0,微信支付,2023-01-01,2023-01,Sunday,20
USER_0131,2023-01-20 16:53:55,运动户外,1709.31,4,6641.0175,5.0,微信支付,2023-01-20,2023-01,Friday,16
USER_0254,2023-04-09 17:34:24,电子产品,887.96,3,2663.88,4.0,微信支付,2023-04-09,2023-04,Sunday,17
USER_0161,2023-03-09 09:13:20,电子产品,1895.7,3,5687.1,5.0,微信支付,2023-03-09,2023-03,Thursday,9
USER_0033,2023-02-17 20:58:50,家居用品,272.95,5,1364.75,4.0,支付宝,2023-02-17,2023-02,Friday,20
USER_0283,2023-01-27 10:20:29,家居用品,678.86,4,2715.44,5.0,微信支付,2023-01-27,2023-01,Friday,10
USER_0516,2023-02-04 09:16:43,图书音像,191.71,3,575.13,5.0,微信支付,2023-02-04,2023-02,Saturday,9
USER_0037,2023-01-24 21:48:45,图书音像,193.45,5,967.25,5.0,支付宝,2023-01-24,2023-01,Tuesday,21
USER_0161,2023-03-08 10:24:41,运动户外,1407.26,2,2814.52,4.0,微信支付,2023-03-08,2023-03,Wednesday,10
USER_0155,2023-04-16 10:25:16,运动户外,316.41,5,1582.05,5.0,支付宝,2023-04-16,2023-04,Sunday,10
USER_0538,2023-04-09 10:24:23,运动户外,1047.12,5,5235.6,4.0,支付宝,2023-04-09,2023-04,Sunday,10
USER_0512,2023-04-20 20:50:22,电子产品,2294.88875,3,6641.0175,4.0,支付宝,2023-04-20,2023-04,Thursday,20
USER_0575,2023-03-03 21:21:57,运动户外,537.99,3,1613.97,1.0,支付宝,2023-03-03,2023-03,Friday,21
USER_0264,2023-02-22 20:43:43,家居用品,112.79,4,451.16,2.0,支付宝,2023-02-22,2023-02,Wednesday,20
USER_0269,2023-04-24 20:41:29,电子产品,2054.22,2,4108.44,4.0,支付宝,2023-04-24,2023-04,Monday,20
USER_0474,2023-04-27 15:08:11,服装鞋帽,179.97,2,359.94,3.0,支付宝,2023-04-27,2023-04,Thursday,15
USER_0118,2023-02-17 17:39:44,服装鞋帽,766.15,5,3830.75,5.0,微信支付,2023-02-17,2023-02,Friday,17
USER_0247,2023-03-08 20:25:15,电子产品,688.81,4,2755.24,3.0,支付宝,2023-03-08,2023-03,Wednesday,20
USER_0094,2023-04-20 12:04:11,电子产品,2294.88875,4,6641.0175,5.0,支付宝,2023-04-20,2023-04,Thursday,12
USER_0357,2023-01-23 18:09:53,家居用品,73.94,2,147.88,4.0,银行卡,2023-01-23,2023-01,Monday,18
USER_0325,2023-04-19 12:15:23,图书音像,189.97,3,569.91,5.0,微信支付,2023-04-19,2023-04,Wednesday,12
USER_0380,2023-02-02 09:50:42,图书音像,89.5,2,179.0,5.0,支付宝,2023-02-02,2023-02,Thursday,9
USER_0285,2023-01-13 20:30:45,电子产品,562.77,1,562.77,4.0,微信支付,2023-01-13,2023-01,Friday,20
