订单ID,用户ID,下单时间,商品类别,商品数量,订单金额,用户评分,是否会员,年份,月份,日期,星期,小时
ORD_000001,USER_0027,2024-03-13 18:43:00,美妆护肤,2,679.94,5.0,是,2024,3,2024-03-13,2,18
ORD_000002,USER_0272,2024-03-18 18:17:00,图书文具,2,160.1,4.0,是,2024,3,2024-03-18,0,18
ORD_000003,USER_0323,2024-02-19 22:48:00,家居用品,4,1681.41,4.0,否,2024,2,2024-02-19,0,22
ORD_000004,USER_0070,2024-02-13 21:29:00,运动户外,4,4728.01,5.0,否,2024,2,2024-02-13,1,21
ORD_000005,USER_0046,2024-02-26 17:02:00,服装鞋帽,4,2638.57,4.0,否,2024,2,2024-02-26,0,17
ORD_000006,USER_0239,2024-04-03 10:39:00,电子产品,1,1066.36,4.0,是,2024,4,2024-04-03,2,10
ORD_000007,USER_0230,2024-04-07 20:11:00,电子产品,2,430.15,4.0,是,2024,4,2024-04-07,6,20
ORD_000008,USER_0334,2024-04-29 22:01:00,美妆护肤,2,183.09,3.0,否,2024,4,2024-04-29,0,22
ORD_000009,USER_0317,2024-02-13 22:50:00,图书文具,2,54.15,3.0,否,2024,2,2024-02-13,1,22
ORD_000010,USER_0032,2024-04-02 15:40:00,服装鞋帽,3,821.9,2.0,否,2024,4,2024-04-02,1,15
ORD_000011,USER_0025,2024-03-21 17:47:00,电子产品,1,275.35,5.0,是,2024,3,2024-03-21,3,17
ORD_000012,USER_0188,2024-04-07 19:00:00,运动户外,1,2409.68,3.0,否,2024,4,2024-04-07,6,19
ORD_000013,USER_0272,2024-01-02 22:07:00,运动户外,4,2462.61,3.0,否,2024,1,2024-01-02,1,22
ORD_000014,USER_0189,2024-02-02 21:38:00,美妆护肤,4,408.79,4.0,是,2024,2,2024-02-02,4,21
ORD_000015,USER_0213,2024-02-27 11:14:00,电子产品,4,4385.08,4.0,否,2024,2,2024-02-27,1,11
ORD_000016,USER_0079,2024-03-20 18:28:00,电子产品,3,4728.01,4.0,否,2024,3,2024-03-20,2,18
ORD_000017,USER_0329,2024-02-02 15:00:00,美妆护肤,2,357.71,2.0,否,2024,2,2024-02-02,4,15
ORD_000018,USER_0011,2024-03-24 10:45:00,服装鞋帽,2,1261.66,4.0,是,2024,3,2024-03-24,6,10
ORD_000019,USER_0001,2024-01-19 11:05:00,电子产品,1,2833.49,4.0,否,2024,1,2024-01-19,4,11
