order_id,user_id,order_date,category,amount,quantity,rating,payment_method,region,total_amount
ORD000001,U0109,2024-01-01,图书文具,198.9,1,3,银行卡,西南,198.9
ORD000002,U0116,2024-01-01,家居用品,2318.32,1,3,支付宝,华北,2318.32
ORD000003,U0094,2024-01-01,美妆护肤,592.93,2,5,微信支付,西北,1185.86
ORD000004,U0047,2024-01-01,图书文具,29.99,1,5,支付宝,东北,29.99
ORD000005,U0099,2024-01-01,食品饮料,43.27,2,4,支付宝,华东,86.54
ORD000006,U0055,2024-01-01,母婴用品,131.12,3,4,银行卡,东北,393.36
ORD000007,U0052,2024-01-02,美妆护肤,1268.64,2,5,银行卡,西南,2537.28
ORD000008,U0144,2024-01-02,美妆护肤,1370.49,1,3,微信支付,华南,1370.49
ORD000009,U0013,2024-01-02,图书文具,45.62,3,3,信用卡,西北,136.85999999999999
ORD000010,U0114,2024-01-02,服装鞋帽,494.73,2,5,微信支付,华东,989.46
ORD000011,U0124,2024-01-02,食品饮料,86.93,2,1,微信支付,华中,173.86
ORD000012,U0106,2024-01-03,图书文具,64.03,1,4,支付宝,西北,64.03
ORD000013,U0147,2024-01-03,食品饮料,419.56,5,4,信用卡,华北,2097.8
ORD000014,U0145,2024-01-04,食品饮料,169.41,1,3,支付宝,东北,169.41
ORD000015,U0120,2024-01-04,母婴用品,332.1,1,3,信用卡,华东,332.1
ORD000016,U0063,2024-01-04,美妆护肤,379.72,1,5,信用卡,西北,379.72
ORD000017,U0019,2024-01-05,家居用品,1831.53,2,2,支付宝,东北,3663.06
ORD000018,U0092,2024-01-05,母婴用品,397.93,1,3,微信支付,华东,397.93
ORD000019,U0058,2024-01-05,母婴用品,751.92,1,5,信用卡,西南,751.92
ORD000020,U0090,2024-01-05,食品饮料,106.76,1,4,微信支付,西北,106.76
ORD000021,U0117,2024-01-06,运动户外,1980.09,1,2,信用卡,西南,1980.09
ORD000022,U0062,2024-01-06,美妆护肤,925.4,2,5,信用卡,西北,1850.8
ORD000023,U0023,2024-01-06,服装鞋帽,255.11,2,4,微信支付,西南,510.22
ORD000024,U0127,2024-01-06,母婴用品,432.07,1,5,微信支付,东北,432.07
ORD000025,U0137,2024-01-06,家居用品,2593.28,1,5,信用卡,华中,2593.28
ORD000026,U0140,2024-01-06,运动户外,2311.25,2,4,微信支付,西北,4622.5
ORD000027,U0129,2024-01-07,运动户外,1190.97,1,4,支付宝,西北,1190.97
ORD000028,U0058,2024-01-07,服装鞋帽,977.25,1,5,支付宝,西南,977.25
ORD000029,U0122,2024-01-07,母婴用品,920.9,5,2,微信支付,华东,4604.5
ORD000030,U0001,2024-01-07,家居用品,1769.46,2,5,信用卡,西北,3538.92
ORD000031,U0034,2024-01-07,美妆护肤,97.63,1,3,信用卡,西南,97.63
ORD000032,U0096,2024-01-08,电子产品,7310.72,2,3,微信支付,华南,14621.44
ORD000033,U0126,2024-01-08,家居用品,759.71,1,3,支付宝,西南,759.71
ORD000034,U0118,2024-01-08,服装鞋帽,1167.93,2,5,支付宝,东北,2335.86
ORD000035,U0048,2024-01-08,运动户外,455.51,1,5,信用卡,华中,455.51
ORD000036,U0089,2024-01-08,美妆护肤,99.12,1,3,支付宝,华南,99.12
ORD000037,U0117,2024-01-08,家居用品,948.19,1,1,支付宝,东北,948.19
ORD000038,U0129,2024-01-08,电子产品,6265.92,4,5,支付宝,东北,25063.68
ORD000039,U0016,2024-01-08,电子产品,2292.94,2,4,微信支付,东北,4585.88
ORD000040,U0069,2024-01-08,食品饮料,113.95,1,2,信用卡,华东,113.95
ORD000041,U0022,2024-01-09,食品饮料,110.28,1,4,支付宝,东北,110.28
ORD000042,U0093,2024-01-09,图书文具,159.4,2,4,微信支付,华东,318.8
ORD000043,U0076,2024-01-09,服装鞋帽,1951.82,1,5,微信支付,东北,1951.82
ORD000044,U0144,2024-01-09,母婴用品,475.22,1,3,货到付款,华北,475.22
ORD000045,U0086,2024-01-09,家居用品,1680.77,4,4,支付宝,华南,6723.08
ORD000046,U0029,2024-01-09,家居用品,2584.68,1,4,微信支付,华北,2584.68
ORD000047,U0069,2024-01-09,母婴用品,549.02,2,5,微信支付,东北,1098.04
