order_id,user_id,order_time,category,amount,quantity,total_amount,rating,payment_method,region
O000040,U0041,2025-12-20 01:46:27.969896,母婴,137.86,1,137.86,5,微信支付,华东
O000104,U0071,2025-12-20 04:19:44.969896,电子产品,6546.51,1,6546.51,5,支付宝,华北
O000075,U0043,2025-12-20 06:23:58.969896,图书,125.66,2,251.32,5,支付宝,华东
O000237,U0020,2025-12-20 07:03:30.969896,食品,21.41,4,85.64,4,支付宝,华北
O000129,U0012,2025-12-20 11:06:51.969896,图书,64.47,2,128.94,5,支付宝,华南
O000484,U0075,2025-12-20 14:34:09.969896,图书,75.28,2,150.56,3,支付宝,华南
O000205,U0071,2025-12-21 10:59:40.969896,数码配件,221.47,1,221.47,5,信用卡,华南
O000220,U0046,2025-12-21 11:37:55.969896,美妆,378.29,2,756.58,5,支付宝,华东
O000311,U0102,2025-12-21 12:47:22.969896,美妆,627.86,1,627.86,5,信用卡,东北
O000045,U0083,2025-12-21 20:15:27.969896,母婴,444.82,2,889.64,5,支付宝,华南
O000476,U0002,2025-12-22 01:30:09.969896,服装,673.8,3,2021.4,4,支付宝,华北
O000488,U0130,2025-12-22 06:24:02.969896,数码配件,412.05,3,1236.15,4,银行卡,西北
O000055,U0017,2025-12-22 13:36:15.969896,运动户外,1913.34,2,3826.68,5,微信支付,华东
O000472,U0096,2025-12-23 03:47:15.969896,家居,2213.7,1,2213.7,3,微信支付,华中
O000533,U0061,2025-12-23 05:19:28.969896,母婴,478.77,1,478.77,4,信用卡,西南
O000170,U0112,2025-12-23 06:20:33.969896,母婴,367.51,1,367.51,5,信用卡,华东
O000202,U0098,2025-12-23 10:10:54.969896,运动户外,1391.93,5,6959.65,5,微信支付,华北
O000427,U0119,2025-12-23 18:15:21.969896,母婴,285.16,1,285.16,3,银行卡,华中
O000284,U0039,2025-12-23 20:46:52.969896,母婴,483.4,1,483.4,5,支付宝,华北
O000496,U0017,2025-12-24 02:52:07.969896,母婴,221.23,2,442.46,4,支付宝,华东
O000338,U0105,2025-12-24 05:40:31.969896,美妆,751.35,1,751.35,3,微信支付,西北
O000500,U0122,2025-12-24 15:44:15.969896,美妆,131.42,1,131.42,5,支付宝,西南
O000550,U0087,2025-12-24 17:13:03.969896,家电,4846.72,1,4846.72,3,支付宝,西南
O000583,U0103,2025-12-24 17:50:03.969896,数码配件,442.87,1,442.87,5,银行卡,东北
O000221,U0033,2025-12-24 18:10:11.969896,美妆,220.27,1,220.27,5,信用卡,华南
O000144,U0038,2025-12-25 01:05:57.969896,电子产品,4736.31,1,4736.31,3,微信支付,华南
O000435,U0130,2025-12-25 01:12:17.969896,食品,10.04,1,10.04,4,微信支付,华东
O000282,U0060,2025-12-25 03:46:09.969896,图书,139.96,2,279.92,5,支付宝,华北
O000456,U0043,2025-12-25 07:08:37.969896,母婴,386.35,4,1545.4,4,信用卡,西南
O000571,U0150,2025-12-25 18:01:29.969896,运动户外,1547.56,1,1547.56,5,银行卡,华北
O000464,U0036,2025-12-26 15:31:45.969896,美妆,373.07,2,746.14,3,信用卡,西南
O000341,U0140,2025-12-27 06:40:49.969896,运动户外,1713.18,1,1713.18,5,银行卡,华中
O000433,U0129,2025-12-27 08:35:15.969896,食品,170.23,2,340.46,5,支付宝,华北
O000078,U0076,2025-12-27 13:16:19.969896,家居,2263.53,1,2263.53,5,支付宝,西南
O000374,U0034,2025-12-27 13:32:14.969896,数码配件,57.91,1,57.91,4,微信支付,西北
O000058,U0016,2025-12-27 17:19:42.969896,家居,602.29,2,1204.58,5,微信支付,华东
O000083,U0018,2025-12-28 00:44:53.969896,家电,1531.43,1,1531.43,4,微信支付,华东
O000439,U0014,2025-12-28 04:11:18.969896,运动户外,1028.12,2,2056.24,4,支付宝,华东
O000035,U0109,2025-12-28 06:11:37.969896,家电,3110.86,2,6221.72,3,支付宝,华东
O000556,U0077,2025-12-28 18:21:57.969896,母婴,329.21,1,329.21,5,银行卡,华中
O000426,U0091,2025-12-29 03:29:10.969896,数码配件,187.43,4,749.72,5,支付宝,西北
O000227,U0103,2025-12-29 13:11:36.969896,母婴,455.32,1,455.32,5,信用卡,华东
O000513,U0071,2025-12-29 15:23:45.969896,电子产品,2846.81,3,8540.43,4,信用卡,华东
O000428,U0095,2025-12-29 15:39:22.969896,美妆,68.67,1,68.67,3,支付宝,华南
O000047,U0062,2025-12-29 19:18:11.969896,家电,4031.82,2,8063.64,5,银行卡,华南
O000160,U0082,2025-12-29 21:13:21.969896,数码配件,221.01,1,221.01,4,支付宝,华中
O000413,U0103,2025-12-30 06:35:38.969896,数码配件,456.54,3,1369.62,5,支付宝,西南
O000442,U0039,2025-12-30 13:24:05.969896,运动户外,1917.06,1,1917.06,5,支付宝,华南
O000033,U0131,2025-12-30 17:54:00.969896,母婴,455.19,1,455.19,5,微信支付,东北
O000004,U0009,2025-12-31 00:08:42.969896,电子产品,3739.59,1,3739.59,4,支付宝,华南
O000468,U0038,2025-12-31 00:16:07.969896,图书,142.68,5,713.4,5,银行卡,华东
O000569,U0128,2025-12-31 06:30:08.969896,电子产品,2311.22,1,2311.22,3,支付宝,华南
O000411,U0118,2025-12-31 08:05:05.969896,运动户外,1988.19,1,1988.19,5,微信支付,华东
O000254,U0112,2025-12-31 09:17:50.969896,母婴,159.57,4,638.28,4,支付宝,华东
O000373,U0024,2026-01-01 05:45:08.969896,图书,137.38,1,137.38,5,银行卡,华东
O000580,U0031,2026-01-01 06:31:34.969896,食品,253.06,1,253.06,5,微信支付,华南
O000063,U0049,2026-01-01 16:10:39.969896,服装,139.72,1,139.72,4,银行卡,华东
O000010,U0056,2026-01-01 19:33:41.969896,运动户外,1227.97,1,1227.97,4,支付宝,华南
O000418,U0038,2026-01-01 21:30:59.969896,家居,1763.23,1,1763.23,5,银行卡,华南
O000561,U0132,2026-01-02 03:48:12.969896,数码配件,402.2,1,402.2,4,信用卡,华中
O000356,U0132,2026-01-02 08:38:30.969896,家电,978.72,1,978.72,3,微信支付,东北
O000125,U0068,2026-01-02 13:54:18.969896,电子产品,2241.6,1,2241.6,5,信用卡,华北
O000522,U0072,2026-01-02 17:07:41.969896,家居,2051.33,2,4102.66,4,银行卡,西南
O000226,U0065,2026-01-02 18:33:49.969896,母婴,440.16,2,880.32,5,微信支付,西南
O000478,U0136,2026-01-03 02:40:27.969896,图书,143.56,1,143.56,5,微信支付,华中
O000481,U0118,2026-01-03 10:22:58.969896,服装,364.99,1,364.99,5,支付宝,东北
O000402,U0075,2026-01-03 16:27:58.969896,运动户外,780.02,1,780.02,5,微信支付,华东
O000479,U0061,2026-01-03 17:55:23.969896,美妆,247.52,4,990.08,5,银行卡,华南
O000526,U0126,2026-01-03 21:07:35.969896,家居,1927.72,1,1927.72,4,微信支付,华中
O000562,U0062,2026-01-04 01:55:23.969896,母婴,196.03,2,392.06,4,支付宝,华北
O000502,U0085,2026-01-04 05:35:02.969896,美妆,727.69,1,727.69,3,微信支付,华南
O000342,U0071,2026-01-04 08:44:25.969896,家居,296.24,1,296.24,5,微信支付,华北
O000351,U0029,2026-01-04 16:43:32.969896,电子产品,7363.18,2,14726.36,5,银行卡,华南
O000516,U0113,2026-01-04 18:37:57.969896,电子产品,3876.91,2,7753.82,5,支付宝,华中
O000362,U0038,2026-01-05 02:11:51.969896,服装,652.44,1,652.44,4,微信支付,华东
O000538,U0148,2026-01-05 03:43:38.969896,服装,129.38,3,388.14,3,支付宝,华南
O000093,U0130,2026-01-05 04:53:30.969896,美妆,454.97,1,454.97,5,支付宝,华东
O000560,U0089,2026-01-05 05:40:32.969896,图书,44.43,1,44.43,3,银行卡,华中
O000183,U0040,2026-01-05 09:25:35.969896,家居,1862.44,1,1862.44,5,支付宝,华东
O000319,U0045,2026-01-05 11:49:26.969896,家居,1048.1,3,3144.3,4,信用卡,华南
O000546,U0142,2026-01-05 14:56:27.969896,美妆,225.02,1,225.02,3,银行卡,西南
O000332,U0105,2026-01-05 17:50:08.969896,服装,741.54,2,1483.08,5,银行卡,华东
O000002,U0063,2026-01-05 19:54:59.969896,家居,268.44,2,536.88,5,支付宝,西北
O000450,U0050,2026-01-05 21:49:33.969896,家居,2894.15,1,2894.15,5,银行卡,华中
O000574,U0028,2026-01-06 01:48:49.969896,图书,140.66,1,140.66,5,支付宝,西北
O000068,U0138,2026-01-06 07:32:41.969896,母婴,277.36,3,832.08,5,支付宝,华东
O000152,U0032,2026-01-06 09:06:06.969896,母婴,417.85,1,417.85,4,微信支付,华南
O000520,U0020,2026-01-06 11:27:42.969896,家电,1156.5,1,1156.5,5,支付宝,华东
O000563,U0116,2026-01-06 19:42:34.969896,家居,867.44,2,1734.88,5,银行卡,华东
O000323,U0120,2026-01-07 00:23:56.969896,服装,582.63,2,1165.26,5,支付宝,西南
O000109,U0150,2026-01-07 07:49:58.969896,数码配件,398.8,1,398.8,4,微信支付,华中
O000388,U0103,2026-01-07 15:14:16.969896,服装,627.51,4,2510.04,5,银行卡,华东
O000077,U0143,2026-01-07 23:05:55.969896,母婴,55.11,1,55.11,4,支付宝,华中
O000423,U0083,2026-01-08 08:11:45.969896,运动户外,645.67,2,1291.34,3,微信支付,华东
O000228,U0014,2026-01-08 12:40:37.969896,食品,190.66,1,190.66,5,微信支付,东北
O000081,U0129,2026-01-08 18:15:20.969896,数码配件,322.11,2,644.22,5,微信支付,东北
O000543,U0078,2026-01-09 03:55:56.969896,食品,185.63,1,185.63,4,微信支付,华东
O000105,U0034,2026-01-09 08:16:17.969896,美妆,506.06,2,1012.12,4,支付宝,华南
O000022,U0137,2026-01-09 09:00:54.969896,家居,2472.24,1,2472.24,4,微信支付,华东
O000393,U0014,2026-01-09 14:40:46.969896,食品,187.65,1,187.65,5,信用卡,华东
O000299,U0145,2026-01-09 22:33:31.969896,食品,29.33,2,58.66,5,微信支付,华中
O000295,U0026,2026-01-10 03:05:16.969896,母婴,117.52,1,117.52,4,支付宝,华南
O000244,U0019,2026-01-10 03:23:04.969896,电子产品,2117.56,2,4235.12,5,支付宝,华中
O000595,U0150,2026-01-10 11:16:17.969896,母婴,256.29,2,512.58,5,银行卡,西南
O000185,U0066,2026-01-10 14:14:40.969896,运动户外,1990.22,2,3980.44,4,微信支付,华东
O000403,U0128,2026-01-10 20:53:17.969896,图书,83.13,4,332.52,3,支付宝,华东
O000115,U0106,2026-01-11 04:16:45.969896,电子产品,7470.32,1,7470.32,5,银行卡,华东
O000527,U0019,2026-01-11 08:23:26.969896,母婴,471.33,1,471.33,4,微信支付,华东
O000236,U0041,2026-01-11 12:16:55.969896,家居,696.94,1,696.94,4,微信支付,东北
O000124,U0030,2026-01-11 13:19:24.969896,美妆,368.13,1,368.13,4,微信支付,华北
O000419,U0066,2026-01-11 14:07:02.969896,家居,2556.21,3,7668.63,4,微信支付,华北
O000420,U0040,2026-01-11 15:02:51.969896,服装,645.26,1,645.26,4,微信支付,华中
O000175,U0035,2026-01-11 18:00:55.969896,母婴,448.69,1,448.69,5,银行卡,华东
O000225,U0113,2026-01-11 18:03:19.969896,运动户外,1506.0,1,1506.0,5,信用卡,华东
O000385,U0069,2026-01-12 02:08:03.969896,电子产品,7488.15,2,14976.3,3,支付宝,华南
O000504,U0099,2026-01-12 10:15:03.969896,运动户外,211.24,1,211.24,5,微信支付,华南
O000253,U0114,2026-01-12 13:29:45.969896,美妆,765.75,1,765.75,3,微信支付,东北
O000015,U0093,2026-01-12 18:43:01.969896,家电,1692.72,2,3385.44,4,银行卡,华北
O000067,U0028,2026-01-12 23:06:36.969896,家居,2589.4,2,5178.8,5,支付宝,东北
O000216,U0138,2026-01-13 00:03:46.969896,食品,125.11,2,250.22,4,银行卡,华东
O000128,U0099,2026-01-13 01:27:31.969896,家电,1392.75,1,1392.75,4,银行卡,西南
O000134,U0142,2026-01-13 07:29:33.969896,食品,212.03,1,212.03,5,微信支付,华北
O000273,U0038,2026-01-13 14:00:26.969896,图书,106.44,1,106.44,5,支付宝,华东
O000307,U0117,2026-01-14 06:11:27.969896,美妆,128.63,1,128.63,5,支付宝,华南
O000118,U0121,2026-01-14 08:56:37.969896,家居,1076.15,5,5380.75,3,支付宝,西南
O000111,U0011,2026-01-15 01:16:11.969896,运动户外,763.71,1,763.71,5,支付宝,华东
O000400,U0015,2026-01-15 03:09:32.969896,电子产品,7175.73,1,7175.73,4,微信支付,华中
O000137,U0078,2026-01-15 07:50:11.969896,美妆,485.28,1,485.28,3,银行卡,华东
O000101,U0054,2026-01-15 15:16:35.969896,运动户外,404.36,1,404.36,4,支付宝,华北
O000347,U0054,2026-01-16 00:40:04.969896,家电,1346.22,2,2692.44,5,支付宝,华东
O000184,U0030,2026-01-16 09:06:57.969896,家电,3942.01,4,15768.04,3,银行卡,东北
O000396,U0107,2026-01-16 10:50:19.969896,美妆,532.26,1,532.26,5,微信支付,华南
O000060,U0072,2026-01-16 11:49:03.969896,母婴,81.76,1,81.76,4,信用卡,华北
O000032,U0103,2026-01-16 21:13:16.969896,运动户外,1649.07,1,1649.07,5,支付宝,东北
O000169,U0057,2026-01-17 02:07:19.969896,母婴,162.35,5,811.75,5,信用卡,华东
O000414,U0080,2026-01-17 04:18:40.969896,运动户外,319.66,3,958.98,5,信用卡,华东
O000399,U0079,2026-01-17 06:34:32.969896,电子产品,5791.89,1,5791.89,5,微信支付,华东
O000209,U0024,2026-01-17 06:54:30.969896,美妆,739.05,1,739.05,5,支付宝,华东
O000007,U0140,2026-01-17 08:32:23.969896,图书,59.6,1,59.6,3,支付宝,华北
O000330,U0084,2026-01-17 15:45:54.969896,家电,1633.88,1,1633.88,5,银行卡,西南
O000180,U0014,2026-01-17 15:51:20.969896,运动户外,1976.43,2,3952.86,5,支付宝,东北
O000594,U0149,2026-01-17 18:03:16.969896,家电,594.91,2,1189.82,5,支付宝,华南
O000293,U0061,2026-01-17 19:28:31.969896,美妆,39.33,2,78.66,5,信用卡,华北
O000219,U0050,2026-01-18 05:19:26.969896,美妆,291.38,3,874.14,4,微信支付,西南
O000458,U0073,2026-01-18 11:37:38.969896,母婴,138.12,2,276.24,4,微信支付,华东
O000250,U0007,2026-01-18 13:07:37.969896,服装,623.28,1,623.28,5,支付宝,西南
O000046,U0093,2026-01-18 18:17:37.969896,美妆,653.21,3,1959.63,5,微信支付,华北
O000570,U0130,2026-01-19 00:01:04.969896,母婴,402.68,2,805.36,5,支付宝,华东
O000088,U0053,2026-01-19 01:51:19.969896,运动户外,1942.24,1,1942.24,5,微信支付,华南
O000308,U0124,2026-01-19 06:04:11.969896,服装,467.43,1,467.43,5,支付宝,华东
O000206,U0049,2026-01-19 06:58:56.969896,服装,899.39,1,899.39,4,微信支付,华南
O000229,U0078,2026-01-19 20:29:50.969896,服装,220.7,1,220.7,5,银行卡,华北
