订单ID,用户ID,商品ID,交易时间,商品类别,单价,数量,交易金额,用户评分,订单状态,支付方式,用户性别,年龄段,地区,交易日期,交易月份,交易星期,交易小时
ORD_000001,USER_0103,PROD_00283,2026-01-18 22:04:26.263733,食品,95.84,1,95.84,5.0,已完成,微信支付,女,26-35,华东,2026-01-18,2026-01,Sunday,22
ORD_000002,USER_0180,PROD_00177,2026-01-19 01:47:34.263733,电子产品,2739.5112500000005,3,6233.206249999999,3.0,已完成,支付宝,女,26-35,华南,2026-01-19,2026-01,Monday,1
ORD_000003,USER_0093,PROD_00098,2026-01-19 02:25:06.263733,电子产品,2739.5112500000005,1,6233.206249999999,5.0,已完成,支付宝,女,36-45,华中,2026-01-19,2026-01,Monday,2
ORD_000004,USER_0015,PROD_00105,2026-01-19 03:33:40.263733,图书,197.97,1,197.97,5.0,已完成,支付宝,女,26-35,华东,2026-01-19,2026-01,Monday,3
ORD_000005,USER_0107,PROD_00099,2026-01-19 07:27:29.263733,电子产品,2739.5112500000005,1,6233.206249999999,5.0,已完成,微信支付,女,46-55,华北,2026-01-19,2026-01,Monday,7
ORD_000006,USER_0072,PROD_00006,2026-01-19 11:16:43.263733,家居,556.17,1,556.17,4.0,已退款,支付宝,男,46-55,华东,2026-01-19,2026-01,Monday,11
ORD_000007,USER_0189,PROD_00197,2026-01-19 12:13:39.263733,食品,154.51,1,154.51,4.0,已完成,货到付款,女,26-35,西南,2026-01-19,2026-01,Monday,12
ORD_000008,USER_0021,PROD_00133,2026-01-19 14:57:00.263733,服装,800.0,3,2400.0,5.0,已完成,银行卡,男,26-35,华东,2026-01-19,2026-01,Monday,14
ORD_000009,USER_0103,PROD_00259,2026-01-19 16:13:22.263733,图书,149.86,1,149.86,4.0,已完成,支付宝,男,18-25,华北,2026-01-19,2026-01,Monday,16
ORD_000010,USER_0122,PROD_00023,2026-01-19 17:16:36.263733,电子产品,2739.5112500000005,1,3831.21,3.0,已完成,微信支付,女,18-25,华北,2026-01-19,2026-01,Monday,17
ORD_000011,USER_0075,PROD_00053,2026-01-19 17:18:12.263733,美妆,718.89,3,2156.67,4.0,已完成,信用卡,男,26-35,华东,2026-01-19,2026-01,Monday,17
ORD_000012,USER_0088,PROD_00165,2026-01-20 06:30:17.263733,母婴,405.52,3,1216.56,5.0,已完成,微信支付,女,18-25,华东,2026-01-20,2026-01,Tuesday,6
ORD_000013,USER_0117,PROD_00202,2026-01-20 08:34:40.263733,家居,716.81,1,716.81,5.0,已完成,支付宝,女,46-55,华南,2026-01-20,2026-01,Tuesday,8
ORD_000014,USER_0100,PROD_00083,2026-01-20 12:21:49.263733,图书,63.97,1,63.97,3.0,已完成,支付宝,男,18-25,华东,2026-01-20,2026-01,Tuesday,12
ORD_000015,USER_0104,PROD_00145,2026-01-20 18:10:54.263733,电子产品,2739.5112500000005,1,5374.71,5.0,已完成,银行卡,女,26-35,华中,2026-01-20,2026-01,Tuesday,18
ORD_000016,USER_0152,PROD_00085,2026-01-20 19:22:36.263733,食品,221.51,4,886.04,4.0,已完成,微信支付,男,36-45,华中,2026-01-20,2026-01,Tuesday,19
ORD_000017,USER_0131,PROD_00078,2026-01-20 22:30:33.263733,服装,393.54,1,393.54,5.0,已完成,微信支付,男,36-45,华南,2026-01-20,2026-01,Tuesday,22
ORD_000018,USER_0150,PROD_00001,2026-01-20 22:52:34.263733,美妆,339.32,4,1357.28,5.0,已完成,银行卡,女,26-35,华北,2026-01-20,2026-01,Tuesday,22
ORD_000019,USER_0053,PROD_00051,2026-01-20 23:42:26.263733,母婴,757.48,2,1514.96,5.0,已完成,银行卡,女,46-55,华北,2026-01-20,2026-01,Tuesday,23
ORD_000020,USER_0002,PROD_00173,2026-01-21 07:51:55.263733,服装,333.22,2,666.44,1.0,已完成,信用卡,女,26-35,华中,2026-01-21,2026-01,Wednesday,7
ORD_000021,USER_0088,PROD_00205,2026-01-21 08:45:30.263733,美妆,352.59,1,352.59,4.0,已完成,支付宝,男,26-35,华南,2026-01-21,2026-01,Wednesday,8
ORD_000022,USER_0158,PROD_00260,2026-01-21 09:19:54.263733,电子产品,2739.5112500000005,1,5035.01,5.0,已完成,微信支付,女,18-25,华东,2026-01-21,2026-01,Wednesday,9
