订单ID,用户ID,订单时间,商品类别,单价,数量,总金额,用户评分,支付方式,地区
ORD20260416000563,USER_00074,2026-01-16 06:03:41.264853,服装鞋帽,304.65,1,304.65,,支付宝,华东
ORD20260416000577,USER_00154,2026-01-16 07:03:45.264853,家居用品,443.04,2,886.08,3.7,微信支付,华东
ORD20260416000160,USER_00160,2026-01-16 09:22:25.264853,美妆护肤,508.25,1,508.25,3.6,微信支付,西南
ORD20260416000360,USER_00192,2026-01-16 11:37:16.264853,食品饮料,137.53,1,137.53,4.3,微信支付,西南
ORD20260416000252,USER_00187,2026-01-16 13:19:07.264853,服装鞋帽,433.31,5,2166.55,3.4,微信支付,华中
ORD20260416000080,USER_00191,2026-01-16 15:21:24.264853,电子产品,3582.23,1,3582.23,5.0,微信支付,华东
ORD20260416000272,USER_00151,2026-01-16 20:07:49.264853,服装鞋帽,274.28,4,10971.199999999999,4.2,支付宝,华东
ORD20260416000504,USER_00069,2026-01-16 20:23:53.264853,美妆护肤,954.49,3,2863.47,3.8,信用卡,华东
ORD20260416000585,USER_00114,2026-01-16 20:38:51.264853,家居用品,397.21,2,794.42,5.0,支付宝,华南
ORD20260416000394,USER_00175,2026-01-16 22:13:00.264853,服装鞋帽,687.95,1,687.95,3.4,微信支付,华东
ORD20260416000280,USER_00060,2026-01-17 04:24:45.264853,服装鞋帽,800.0,3,2400.0,3.8,支付宝,华东
ORD20260416000376,USER_00099,2026-01-17 19:13:35.264853,服装鞋帽,144.57,1,144.57,4.1,微信支付,华南
ORD20260416000281,USER_00113,2026-01-17 22:00:18.264853,服装鞋帽,800.0,1,800.0,,银行卡,华东
ORD20260416000589,USER_00164,2026-01-18 03:59:27.264853,服装鞋帽,445.71,1,445.71,3.5,微信支付,华南
ORD20260416000186,USER_00121,2026-01-18 11:01:23.264853,服装鞋帽,686.88,2,1373.76,2.9,信用卡,华南
ORD20260416000332,USER_00145,2026-01-18 11:25:26.264853,服装鞋帽,317.09,1,317.09,3.8,货到付款,华东
ORD20260416000286,USER_00197,2026-01-18 12:47:12.264853,食品饮料,120.66,4,482.64,5.0,微信支付,华东
ORD20260416000168,USER_00062,2026-01-18 13:20:46.264853,电子产品,1821.34,2,3642.68,5.0,微信支付,华北
ORD20260416000082,USER_00044,2026-01-18 13:43:01.264853,电子产品,1890.22,3,5670.66,3.4,微信支付,东北
ORD20260416000185,USER_00190,2026-01-18 14:21:53.264853,电子产品,3928.0,1,3928.0,5.0,微信支付,西北
ORD20260416000285,USER_00140,2026-01-18 17:08:32.264853,家居用品,552.91,2,1105.82,3.8,信用卡,华东
ORD20260416000081,USER_00146,2026-01-18 19:32:15.264853,服装鞋帽,250.47,1,250.47,4.2,支付宝,华南
ORD20260416000368,USER_00099,2026-01-18 20:15:29.264853,服装鞋帽,575.54,1,575.54,4.6,信用卡,华东
