date,city,temperature,humidity,precipitation,wind_speed,pressure,year,month,day,dayofyear,weekofyear,quarter,season
2020-01-01,北京,4.49,67.28,2.63,1.21,1017.78,2020,1,1,1,1,1,冬季
2020-01-02,北京,9.91,76.33,0.04,2.05,1005.12,2020,1,2,2,1,1,冬季
2020-01-03,北京,3.22,49.53,1.13,5.92,990.14,2020,1,3,3,1,1,冬季
2020-01-04,北京,-2.53,54.54,1.22,1.96,1021.97,2020,1,4,4,1,1,冬季
2020-01-05,北京,-0.71,69.77,1.87,2.01,1027.21,2020,1,5,5,1,1,冬季
2020-01-06,北京,-1.0,87.18,0.26,2.14,1012.92,2020,1,6,6,2,1,冬季
2020-01-07,北京,6.12,56.45,0.75,3.21,1030.9,2020,1,7,7,2,1,冬季
2020-01-08,北京,5.7,70.37,0.19,1.35,989.25,2020,1,8,8,2,1,冬季
2020-01-09,北京,-0.29,79.23,0.66,1.18,1015.02,2020,1,9,9,2,1,冬季
2020-01-10,北京,-1.37,74.78,0.01,5.07,1026.32,2020,1,10,10,2,1,冬季
2020-01-11,北京,-2.19,65.57,3.98,0.76,1029.49,2020,1,11,11,2,1,冬季
2020-01-12,北京,-3.52,56.7,2.62,5.99,1017.45,2020,1,12,12,2,1,冬季
2020-01-13,北京,3.82,62.21,2.86,8.88,1018.07,2020,1,13,13,3,1,冬季
2020-01-14,北京,-11.09,76.88,0.05,0.85,1028.64,2020,1,14,14,3,1,冬季
2020-01-15,北京,0.91,72.23,1.06,1.68,1024.16,2020,1,15,15,3,1,冬季
2020-01-16,北京,-2.03,63.64,5.31,4.8,1030.37,2020,1,16,16,3,1,冬季
2020-01-17,北京,-0.64,73.79,4.46,8.28,1015.63,2020,1,17,17,3,1,冬季
2020-01-18,北京,-1.5,65.38,0.52,7.82,1008.62,2020,1,18,18,3,1,冬季
2020-01-19,北京,2.04,66.31,1.08,2.41,1008.66,2020,1,19,19,3,1,冬季
2020-01-20,北京,1.2,72.7,1.46,1.44,1034.06,2020,1,20,20,4,1,冬季
2020-01-21,北京,-7.58,68.4,0.67,3.6,1006.51,2020,1,21,21,4,1,冬季
2020-01-22,北京,1.05,71.68,0.31,4.29,1012.89,2020,1,22,22,4,1,冬季
2020-01-23,北京,7.72,76.18,0.54,1.66,1033.76,2020,1,23,23,4,1,冬季
2020-01-24,北京,4.94,90.56,0.19,2.21,1026.85,2020,1,24,24,4,1,冬季
2020-01-25,北京,2.51,63.63,2.26,3.36,1007.52,2020,1,25,25,4,1,冬季
2020-01-26,北京,-3.3,73.4,2.35,5.21,1010.59,2020,1,26,26,4,1,冬季
2020-01-27,北京,-1.91,65.44,5.17,2.49,1021.34,2020,1,27,27,5,1,冬季
2020-01-28,北京,3.15,81.73,1.51,2.56,1009.91,2020,1,28,28,5,1,冬季
2020-01-29,北京,3.31,76.48,0.83,7.94,999.99,2020,1,29,29,5,1,冬季
2020-01-30,北京,3.26,72.12,2.05,3.95,1025.71,2020,1,30,30,5,1,冬季
2020-01-31,北京,3.47,61.52,0.01,3.81,994.75,2020,1,31,31,5,1,冬季
2020-02-01,北京,1.54,71.57,2.49,1.75,996.04,2020,2,1,32,5,1,冬季
2020-02-02,北京,12.32,69.13,2.14,1.56,1015.19,2020,2,2,33,5,1,冬季
2020-02-03,北京,3.05,56.84,7.22,6.16,1009.41,2020,2,3,34,6,1,冬季
2020-02-04,北京,7.57,79.54,1.72,0.86,1012.48,2020,2,4,35,6,1,冬季
2020-02-05,北京,2.15,69.82,5.64,3.02,1024.11,2020,2,5,36,6,1,冬季
2020-02-06,北京,3.27,49.85,3.81,1.47,1005.31,2020,2,6,37,6,1,冬季
2020-02-07,北京,8.37,68.85,1.69,3.97,1000.87,2020,2,7,38,6,1,冬季
2020-02-08,北京,7.79,53.57,4.2,6.13,1028.99,2020,2,8,39,6,1,冬季
2020-02-09,北京,0.61,55.62,3.31,4.18,1016.86,2020,2,9,40,6,1,冬季
2020-02-10,北京,10.08,95.0,3.2,8.09,1027.82,2020,2,10,41,7,1,冬季
2020-02-11,北京,5.92,72.59,0.94,3.78,1000.16,2020,2,11,42,7,1,冬季
2020-02-12,北京,19.07,46.33,0.68,2.37,1014.2,2020,2,12,43,7,1,冬季
2020-02-13,北京,5.14,75.89,0.27,9.2,1014.93,2020,2,13,44,7,1,冬季
2020-02-14,北京,3.85,67.16,0.11,3.21,1040.65,2020,2,14,45,7,1,冬季
2020-02-15,北京,-2.63,66.86,3.17,2.31,987.96,2020,2,15,46,7,1,冬季
2020-02-16,北京,10.02,73.66,1.05,2.54,1008.23,2020,2,16,47,7,1,冬季
2020-02-17,北京,16.33,69.05,2.16,4.41,1037.77,2020,2,17,48,8,1,冬季
2020-02-18,北京,-0.1,60.16,0.88,2.76,1041.08,2020,2,18,49,8,1,冬季
2020-02-19,北京,-8.71,54.76,0.38,0.38,993.5,2020,2,19,50,8,1,冬季
2020-02-20,北京,5.3,66.31,0.94,3.49,1048.22,2020,2,20,51,8,1,冬季
2020-02-21,北京,2.59,69.62,0.15,2.84,1013.91,2020,2,21,52,8,1,冬季
2020-02-22,北京,8.07,71.62,0.98,1.98,1044.67,2020,2,22,53,8,1,冬季
2020-02-23,北京,6.74,70.88,6.5,2.23,1016.11,2020,2,23,54,8,1,冬季
2020-02-24,北京,4.55,73.5,0.25,6.45,1034.79,2020,2,24,55,9,1,冬季
2020-02-25,北京,11.56,71.3,0.66,4.97,1002.35,2020,2,25,56,9,1,冬季
2020-02-26,北京,7.4,66.17,0.93,1.89,1030.43,2020,2,26,57,9,1,冬季
