user_id,course_id,course_category,watch_duration_minutes,quiz_score,is_completed,registration_date,last_activity_date
USER_000861,COURSE_00095,产品设计,105.98,67.92,0,2024-10-11,2026-04-07
USER_003773,COURSE_00092,商业管理,119.83,93.53,1,2024-09-08,2026-03-24
USER_003093,COURSE_00065,人工智能,203.92,97.87,1,2024-12-21,2026-04-05
USER_000467,COURSE_00047,商业管理,111.7,72.65,1,2024-08-16,2026-04-11
USER_004427,COURSE_00181,编程开发,185.82,67.22,1,2024-11-24,2026-04-14
USER_003445,COURSE_00106,商业管理,56.06,93.31,0,2024-06-30,2026-04-03
USER_003172,COURSE_00199,语言学习,55.11,93.19,1,2024-08-14,2026-03-22
USER_002920,COURSE_00130,市场营销,41.76,95.56,1,2024-11-13,2026-04-16
USER_000131,COURSE_00106,人工智能,127.84,65.97,0,2024-02-28,2026-03-25
USER_001686,COURSE_00024,产品设计,116.49,99.04,1,2024-11-26,2026-04-06
USER_000770,COURSE_00004,市场营销,39.53,98.47,1,2024-04-22,2026-04-06
USER_002392,COURSE_00108,数据科学,87.58,66.17,0,2024-11-22,2026-03-30
USER_002434,COURSE_00019,语言学习,64.13,85.19,1,2024-12-21,2026-03-31
USER_001185,COURSE_00154,产品设计,71.35,78.58,1,2024-04-14,2026-04-13
USER_004556,COURSE_00040,职业技能,53.08,86.31,1,2024-05-16,2026-03-28
USER_003386,COURSE_00050,市场营销,51.38,85.19,1,2024-01-30,2026-03-28
USER_004118,COURSE_00171,编程开发,150.15,76.94,1,2024-03-03,2026-04-14
USER_004844,COURSE_00075,数据科学,106.14,70.78,0,2024-07-14,2026-03-23
USER_002905,COURSE_00195,产品设计,110.43,92.39,1,2024-07-14,2026-03-30
USER_000475,COURSE_00012,编程开发,79.94,76.3,0,2024-03-12,2026-03-21
USER_001083,COURSE_00195,语言学习,76.96,79.44,0,2024-06-01,2026-04-14
USER_002559,COURSE_00027,职业技能,15.36,85.2,0,2024-12-14,2026-04-07
USER_002048,COURSE_00113,数据科学,116.95,91.89,0,2024-06-05,2026-03-28
USER_002748,COURSE_00182,人工智能,127.69,89.72,1,2024-08-27,2026-04-15
USER_000976,COURSE_00194,职业技能,82.28,81.93,1,2024-04-15,2026-03-26
USER_001807,COURSE_00049,编程开发,108.38,81.66,0,2024-02-01,2026-04-01
USER_000190,COURSE_00144,市场营销,86.0,69.72,1,2024-11-16,2026-03-27
USER_002735,COURSE_00130,商业管理,78.42,95.23,1,2024-08-07,2026-04-10
USER_003006,COURSE_00060,产品设计,91.88,93.75,0,2024-02-15,2026-04-02
USER_004659,COURSE_00182,数据科学,36.17,71.8,1,2024-12-22,2026-03-23
USER_001900,COURSE_00030,编程开发,150.11,75.56,0,2024-04-12,2026-04-08
USER_001268,COURSE_00084,人工智能,65.17,92.92,1,2024-10-22,2026-04-06
USER_001529,COURSE_00166,商业管理,94.33,52.49,1,2024-10-14,2026-03-26
USER_003203,COURSE_00028,产品设计,66.12,82.88,1,2024-10-15,2026-03-24
USER_003557,COURSE_00025,产品设计,26.89,100.0,1,2024-05-06,2026-03-26
USER_003891,COURSE_00096,编程开发,148.84,79.79,0,2024-03-03,2026-04-01
USER_000647,COURSE_00125,人工智能,161.94,60.21,1,2024-09-30,2026-03-21
USER_002889,COURSE_00010,语言学习,84.41,98.96,1,2024-08-08,2026-04-08
USER_002436,COURSE_00188,商业管理,104.12,74.55,0,2024-01-09,2026-04-02
USER_000601,COURSE_00042,语言学习,5.0,73.88,0,2024-02-01,2026-04-11
USER_002364,COURSE_00040,数据科学,165.42,100.0,1,2024-10-05,2026-03-31
USER_002062,COURSE_00077,编程开发,134.5,67.03,1,2024-07-04,2026-04-15
USER_000242,COURSE_00105,商业管理,112.36,76.36,1,2024-07-23,2026-03-27
USER_002042,COURSE_00118,数据科学,120.74,68.95,1,2024-12-12,2026-04-14
USER_002825,COURSE_00042,职业技能,106.14,99.85,1,2024-02-17,2026-04-13
USER_002613,COURSE_00047,语言学习,43.73,80.1,1,2024-02-14,2026-04-01
USER_001364,COURSE_00165,职业技能,69.01,93.12,0,2024-12-14,2026-03-24
USER_001479,COURSE_00022,职业技能,56.23,72.25,1,2024-02-03,2026-03-20
USER_002557,COURSE_00185,商业管理,165.86,63.7,0,2024-06-27,2026-04-02
USER_000776,COURSE_00107,产品设计,124.53,71.49,1,2024-03-15,2026-03-22
USER_004015,COURSE_00027,数据科学,154.45,84.56,0,2024-07-29,2026-04-04
USER_000035,COURSE_00041,职业技能,76.75,95.67,0,2024-10-06,2026-04-11
USER_003153,COURSE_00080,人工智能,173.6,63.36,1,2024-11-12,2026-04-03
USER_001956,COURSE_00162,市场营销,57.78,74.67,1,2024-02-04,2026-04-15
USER_001586,COURSE_00160,语言学习,24.61,100.0,1,2024-12-13,2026-03-26
USER_003944,COURSE_00089,语言学习,12.64,94.44,1,2024-09-12,2026-04-03
USER_003074,COURSE_00066,人工智能,126.12,63.45,0,2024-01-29,2026-04-11
USER_001022,COURSE_00012,商业管理,49.8,72.71,1,2024-02-05,2026-03-30
USER_003462,COURSE_00168,商业管理,101.66,62.39,1,2024-06-07,2026-04-03
USER_002614,COURSE_00073,商业管理,92.57,75.82,0,2024-02-17,2026-03-23
USER_003844,COURSE_00076,数据科学,133.4,83.47,0,2024-09-23,2026-04-06
USER_001501,COURSE_00090,编程开发,179.03,44.43,1,2024-04-19,2026-03-18
USER_004799,COURSE_00010,职业技能,96.2,94.07,0,2024-11-23,2026-03-25
USER_000162,COURSE_00096,产品设计,69.33,87.02,0,2024-03-27,2026-04-05
USER_004298,COURSE_00176,市场营销,92.77,100.0,1,2024-08-28,2026-03-21
USER_001982,COURSE_00020,编程开发,69.74,94.34,0,2024-04-06,2026-03-28
USER_000996,COURSE_00039,编程开发,83.75,77.13,0,2024-04-17,2026-04-16
USER_004912,COURSE_00060,人工智能,132.55,52.73,0,2024-07-05,2026-04-03
USER_003343,COURSE_00066,数据科学,113.01,95.4,0,2024-08-16,2026-03-28
USER_004552,COURSE_00065,语言学习,5.0,100.0,1,2024-08-27,2026-03-26
USER_003799,COURSE_00179,语言学习,10.7,89.32,1,2024-09-08,2026-03-25
USER_001276,COURSE_00124,人工智能,62.24,81.67,1,2024-05-20,2026-04-01
USER_001017,COURSE_00164,数据科学,164.84,87.08,1,2024-10-29,2026-03-25
USER_000338,COURSE_00152,人工智能,63.38,89.67,0,2024-08-18,2026-04-13
USER_000879,COURSE_00155,语言学习,87.49,100.0,1,2024-09-14,2026-04-07
USER_001077,COURSE_00130,编程开发,157.64,86.58,1,2024-03-21,2026-03-30
USER_004888,COURSE_00159,产品设计,49.92,96.06,1,2024-12-29,2026-04-08
USER_003994,COURSE_00057,职业技能,20.68,76.58,1,2024-12-02,2026-03-30
USER_004860,COURSE_00078,商业管理,92.4,84.81,0,2024-11-08,2026-03-18
USER_000380,COURSE_00194,数据科学,80.49,85.85,1,2024-04-14,2026-04-14
USER_000493,COURSE_00029,职业技能,36.78,77.44,1,2024-05-26,2026-03-18
USER_002063,COURSE_00015,市场营销,58.18,100.0,1,2024-10-21,2026-03-31
USER_003885,COURSE_00012,市场营销,65.95,72.39,1,2024-01-27,2026-04-15
USER_000065,COURSE_00101,编程开发,138.37,70.58,0,2024-08-26,2026-04-04
USER_002569,COURSE_00156,人工智能,128.09,71.81,1,2024-01-28,2026-04-10
USER_002028,COURSE_00084,人工智能,112.73,72.92,1,2024-02-10,2026-04-13
USER_002696,COURSE_00125,语言学习,118.37,81.21,0,2024-02-15,2026-03-24
USER_001496,COURSE_00103,编程开发,112.74,68.86,1,2024-05-15,2026-03-25
USER_000392,COURSE_00024,语言学习,51.7,99.1,1,2024-06-26,2026-03-21
USER_004515,COURSE_00149,语言学习,63.53,87.18,1,2024-10-21,2026-04-02
USER_004475,COURSE_00138,市场营销,39.55,33.87,0,2024-01-28,2026-03-27
USER_003562,COURSE_00110,语言学习,41.42,64.8,1,2024-07-19,2026-03-23
USER_002279,COURSE_00078,职业技能,93.8,82.08,0,2024-03-23,2026-04-01
USER_003100,COURSE_00101,商业管理,74.27,80.32,0,2024-03-19,2026-04-16
USER_000201,COURSE_00146,语言学习,86.21,82.71,1,2024-09-12,2026-03-29
USER_004876,COURSE_00142,市场营销,56.54,61.8,1,2024-01-15,2026-03-30
USER_003105,COURSE_00162,商业管理,80.63,100.0,1,2024-04-24,2026-04-01
USER_004599,COURSE_00128,人工智能,26.46,65.77,1,2024-08-19,2026-04-10
USER_002455,COURSE_00058,数据科学,167.93,74.73,0,2024-04-04,2026-03-23
USER_003646,COURSE_00076,产品设计,100.28,65.67,1,2024-08-15,2026-03-30
USER_000805,COURSE_00150,语言学习,53.49,90.56,0,2024-06-29,2026-03-27
USER_002732,COURSE_00198,职业技能,42.03,94.48,1,2024-10-25,2026-04-14
USER_002774,COURSE_00036,商业管理,104.37,74.1,1,2024-08-31,2026-04-08
USER_001571,COURSE_00173,数据科学,154.62,95.01,1,2024-09-09,2026-03-27
USER_002691,COURSE_00164,市场营销,89.71,85.27,0,2024-09-19,2026-04-15
USER_003841,COURSE_00022,数据科学,120.88,100.0,1,2024-01-29,2026-03-30
USER_001029,COURSE_00127,产品设计,59.16,65.19,1,2024-06-21,2026-04-09
USER_000503,COURSE_00080,职业技能,60.86,79.56,0,2024-09-07,2026-03-30
USER_004494,COURSE_00189,数据科学,95.27,63.08,1,2024-10-19,2026-04-09
USER_000871,COURSE_00100,职业技能,57.93,100.0,0,2024-10-27,2026-04-05
USER_004489,COURSE_00184,商业管理,69.08,97.07,0,2024-10-09,2026-04-10
USER_000207,COURSE_00096,数据科学,61.65,78.53,1,2024-02-05,2026-03-29
USER_001485,COURSE_00161,职业技能,71.01,77.19,0,2024-11-17,2026-03-30
USER_000864,COURSE_00173,数据科学,140.86,71.74,0,2024-12-19,2026-03-20
USER_002791,COURSE_00164,数据科学,73.54,85.96,0,2024-08-25,2026-04-06
USER_000564,COURSE_00148,编程开发,92.26,61.96,1,2024-01-16,2026-04-16
USER_004192,COURSE_00018,语言学习,69.77,87.94,1,2024-08-23,2026-04-12
USER_001758,COURSE_00038,市场营销,19.6,71.97,1,2024-08-07,2026-03-21
USER_001679,COURSE_00195,产品设计,100.71,79.24,1,2024-06-03,2026-03-20
USER_003243,COURSE_00151,市场营销,118.08,79.43,0,2024-01-01,2026-03-26
USER_004637,COURSE_00109,编程开发,42.92,52.77,1,2024-12-02,2026-03-22
USER_001060,COURSE_00123,编程开发,113.1,60.94,1,2024-06-06,2026-04-03
USER_001723,COURSE_00144,商业管理,92.18,62.62,1,2024-11-28,2026-04-05
USER_003315,COURSE_00187,编程开发,163.04,67.66,0,2024-01-28,2026-03-20
USER_003158,COURSE_00197,语言学习,81.98,70.8,0,2024-12-16,2026-04-04
USER_002626,COURSE_00196,编程开发,124.01,71.79,1,2024-08-13,2026-04-09
USER_002730,COURSE_00149,数据科学,149.13,60.31,1,2024-02-23,2026-03-27
USER_001598,COURSE_00104,市场营销,47.64,62.77,1,2024-08-31,2026-03-27
USER_003061,COURSE_00198,人工智能,152.72,52.3,1,2024-10-12,2026-04-15
USER_002694,COURSE_00140,产品设计,68.52,94.13,1,2024-11-09,2026-03-18
USER_004892,COURSE_00144,编程开发,118.14,82.35,0,2024-04-07,2026-04-01
USER_003628,COURSE_00081,市场营销,79.77,84.67,1,2024-03-06,2026-04-01
USER_001364,COURSE_00087,商业管理,142.38,90.84,1,2024-06-16,2026-03-23
USER_001982,COURSE_00142,编程开发,89.87,73.3,0,2024-10-08,2026-04-09
USER_001664,COURSE_00061,语言学习,66.56,73.24,0,2024-04-29,2026-03-29
USER_001530,COURSE_00199,编程开发,101.17,91.82,1,2024-05-03,2026-03-27
USER_002039,COURSE_00046,编程开发,150.28,71.21,1,2024-09-27,2026-04-05
USER_003303,COURSE_00032,职业技能,59.95,87.1,1,2024-06-05,2026-04-13
USER_002238,COURSE_00015,职业技能,73.94,94.48,0,2024-01-10,2026-04-01
USER_001307,COURSE_00044,编程开发,42.95,62.66,1,2024-05-05,2026-03-27
USER_004030,COURSE_00145,商业管理,152.93,88.96,1,2024-08-13,2026-04-07
USER_002676,COURSE_00169,职业技能,35.04,60.0,1,2024-08-11,2026-03-24
USER_001283,COURSE_00054,编程开发,98.38,62.98,1,2024-08-28,2026-04-15
USER_000710,COURSE_00044,产品设计,126.13,74.06,1,2024-02-12,2026-03-30
USER_004745,COURSE_00098,市场营销,65.94,81.84,1,2024-04-18,2026-04-16
USER_004414,COURSE_00005,职业技能,67.5,82.83,0,2024-01-28,2026-03-22
USER_003749,COURSE_00109,职业技能,70.49,69.89,1,2024-12-24,2026-04-11
USER_004780,COURSE_00027,语言学习,101.9,82.93,1,2024-09-10,2026-04-11
