order_id,product_id,quantity,unit_price,discount,line_amount
order_000001,product_0079,1,129.11,0.72,93.34
order_000001,product_0099,1,408.72,0.94,383.45
order_000001,product_0062,3,35.13,0.72,75.41
order_000001,product_0090,1,316.49,0.73,229.58
order_000001,product_0081,2,249.67,0.97,486.29
order_000002,product_0014,3,2890.27,0.74,6432.7
order_000002,product_0015,2,889.71,0.93,1652.31
order_000002,product_0013,1,1762.43,0.78,1379.5
order_000003,product_0060,2,3260.77,0.9,5893.91
order_000003,product_0058,1,414.5,0.83,342.47
order_000003,product_0034,2,143.75,0.98,282.08
order_000004,product_0020,2,1829.43,0.75,2738.17
order_000004,product_0064,2,3486.99,0.99,6913.62
order_000005,product_0014,2,2890.27,0.72,4165.08
order_000006,product_0015,3,889.71,0.93,2487.82
order_000006,product_0035,1,455.76,0.89,407.66
order_000006,product_0020,3,1829.43,0.82,4505.68
order_000006,product_0048,1,1563.92,0.83,1300.33
order_000007,product_0050,1,1140.24,0.83,950.09
order_000007,product_0036,1,3161.33,0.86,2717.16
order_000007,product_0014,1,2890.27,0.72,2083.98
order_000008,product_0040,3,267.72,0.71,569.24
order_000008,product_0016,2,578.89,0.75,864.73
order_000008,product_0090,1,316.49,0.91,288.97
order_000008,product_0003,2,810.71,0.8,1289.53
order_000009,product_0031,1,166.64,0.79,132.3
order_000009,product_0066,3,166.29,0.98,489.04
order_000009,product_0057,3,1403.71,0.73,3063.23
order_000010,product_0069,1,251.55,0.83,208.42
order_000010,product_0060,2,3260.77,0.95,6178.13
order_000011,product_0023,1,1889.93,0.7,1327.52
order_000011,product_0056,2,754.6,0.77,1163.81
order_000011,product_0004,1,4896.76,0.97,4771.98
order_000011,product_0032,2,4394.58,0.95,8378.39
order_000011,product_0040,2,267.72,0.85,457.39
order_000012,product_0074,2,622.24,0.8,992.55
order_000012,product_0063,3,905.54,0.95,2576.84
order_000012,product_0043,1,1552.19,0.91,1410.95
order_000012,product_0063,1,905.54,0.92,831.75
order_000012,product_0005,2,169.56,0.95,320.85
order_000013,product_0022,1,1926.05,0.82,1579.48
order_000013,product_0011,1,2576.99,1.0,2569.52
order_000013,product_0003,1,810.71,0.88,714.28
order_000014,product_0018,1,815.05,0.79,644.99
order_000015,product_0023,2,1889.93,0.89,3352.08
order_000016,product_0047,3,487.4,0.83,1206.55
order_000016,product_0028,2,3202.88,0.75,4812.53
order_000016,product_0025,2,418.26,0.97,810.91
order_000016,product_0058,2,414.5,0.73,605.23
order_000016,product_0041,1,416.17,0.9,373.94
order_000017,product_0048,2,1563.92,0.72,2261.56
order_000017,product_0075,3,36.6,0.95,104.21
order_000017,product_0086,1,450.93,0.79,356.86
order_000017,product_0081,2,249.67,0.96,479.63
order_000018,product_0042,2,1068.32,0.72,1528.1
order_000018,product_0075,1,36.6,0.7,25.73
order_000018,product_0099,1,408.72,0.92,375.76
order_000018,product_0016,2,578.89,0.93,1081.93
order_000019,product_0047,3,487.4,0.71,1041.2
order_000019,product_0076,1,827.87,0.87,720.13
order_000019,product_0002,2,1062.63,0.78,1663.17
order_000020,product_0079,3,129.11,0.93,358.45
order_000020,product_0063,3,905.54,0.85,2319.87
