order_id,user_id,order_date,order_status,payment_method,total_amount
order_000001,user_0025,2025-07-05,已完成,货到付款,1268.0700000000002
order_000002,user_0194,2026-03-05,已完成,信用卡,9464.51
order_000003,user_0025,2026-02-10,已完成,货到付款,6518.46
order_000004,user_0054,2026-01-02,已取消,微信支付,9651.79
order_000005,user_0033,2025-06-02,已完成,支付宝,4165.08
order_000006,user_0164,2025-12-22,已完成,货到付款,8701.49
order_000007,user_0095,2025-09-22,已完成,信用卡,5751.23
order_000008,user_0014,2025-12-10,已完成,货到付款,3012.4700000000003
order_000009,user_0065,2025-12-27,退款中,支付宝,3684.57
order_000010,user_0110,2026-03-30,已完成,货到付款,6386.55
order_000011,user_0080,2026-04-27,已完成,货到付款,16099.089999999998
order_000012,user_0054,2025-11-14,已完成,支付宝,6132.9400000000005
order_000013,user_0125,2025-09-28,已完成,微信支付,4863.28
order_000014,user_0180,2025-07-09,已完成,微信支付,644.99
order_000015,user_0131,2025-11-14,已完成,支付宝,3352.08
order_000016,user_0169,2026-02-17,已完成,货到付款,7809.16
order_000017,user_0134,2025-05-14,已完成,支付宝,3202.2599999999998
order_000018,user_0025,2025-09-03,已完成,微信支付,3011.52
order_000019,user_0141,2025-11-30,已完成,信用卡,3424.5
order_000020,user_0117,2025-06-27,已完成,货到付款,3538.3199999999997
order_000021,user_0136,2025-08-09,已完成,微信支付,720.15
order_000022,user_0149,2025-06-08,已完成,货到付款,9556.81
order_000023,user_0196,2025-05-22,已完成,支付宝,6300.65
order_000024,user_0025,2025-06-05,已完成,信用卡,3133.85
order_000025,user_0079,2026-02-12,已完成,支付宝,21959.129999999997
order_000026,user_0068,2025-09-05,已完成,信用卡,6069.21
order_000027,user_0173,2025-12-12,已完成,货到付款,13750.26
order_000028,user_0188,2025-08-13,已取消,货到付款,2209.89
order_000029,user_0012,2025-10-16,已完成,支付宝,13203.11
order_000030,user_0032,2025-08-07,已完成,信用卡,1223.69
order_000031,user_0128,2026-04-16,已完成,信用卡,6109.43
order_000032,user_0096,2025-05-09,已完成,货到付款,949.35
order_000033,user_0092,2026-01-27,已完成,支付宝,5992.81
order_000034,user_0141,2025-08-06,已完成,信用卡,5144.22
order_000035,user_0031,2025-06-10,已取消,货到付款,6881.36
order_000036,user_0078,2026-02-26,已完成,微信支付,5068.66
order_000037,user_0020,2025-05-14,已取消,支付宝,1555.63
order_000038,user_0146,2026-03-23,已完成,微信支付,1066.37
order_000039,user_0060,2025-06-23,已完成,支付宝,4696.24
order_000040,user_0191,2026-03-04,已取消,货到付款,7088.049999999999
order_000041,user_0134,2026-02-24,已完成,信用卡,6653.59
order_000042,user_0160,2025-05-09,已完成,信用卡,3384.7200000000003
order_000043,user_0093,2026-03-11,已完成,信用卡,4177.27
order_000044,user_0043,2025-07-16,已完成,支付宝,466.16999999999996
order_000045,user_0130,2025-11-29,已完成,货到付款,6199.87
order_000046,user_0060,2026-04-01,已完成,微信支付,3800.36
order_000047,user_0151,2026-01-16,已完成,货到付款,8306.0
order_000048,user_0031,2025-09-23,已完成,微信支付,3654.92
order_000049,user_0005,2025-07-17,已完成,支付宝,7368.14
order_000050,user_0162,2025-11-28,已完成,支付宝,4685.780000000001
order_000051,user_0010,2025-11-11,已完成,微信支付,1697.42
order_000052,user_0089,2025-11-13,已完成,微信支付,6917.83
