user_id,region,register_date,age,gender
user_0001,华北,2024-07-10,33,女
user_0002,东北,2024-08-20,41,男
user_0003,华中,2024-07-13,33,男
user_0004,华南,2025-02-03,19,男
user_0005,华东,2025-02-01,45,男
user_0006,华东,2025-12-16,49,女
user_0007,华东,2025-07-19,44,男
user_0008,西南,2025-08-15,37,女
user_0009,华南,2025-12-08,41,女
user_0010,华中,2024-11-05,29,女
user_0011,华东,2024-12-12,52,男
user_0012,东北,2025-12-21,50,男
user_0013,西南,2025-10-28,50,女
user_0014,华东,2025-04-26,60,女
user_0015,华东,2025-10-18,54,男
user_0016,华东,2024-05-18,29,女
user_0017,华北,2025-10-20,20,女
user_0018,华南,2024-08-27,18,女
user_0019,华北,2025-02-25,50,女
user_0020,华北,2025-06-26,57,女
user_0021,华南,2024-11-11,27,男
user_0022,华东,2025-03-03,60,女
user_0023,华北,2025-11-15,61,女
user_0024,华北,2025-09-16,46,男
user_0025,华南,2025-02-22,30,男
user_0026,西南,2024-06-28,29,男
user_0027,华东,2026-02-25,48,女
user_0028,华南,2024-05-11,63,女
user_0029,华南,2024-12-25,19,男
user_0030,华东,2024-12-15,52,女
user_0031,华南,2025-03-20,40,男
user_0032,华东,2026-03-08,34,女
user_0033,华东,2024-05-29,43,女
user_0034,西北,2026-02-20,25,女
user_0035,东北,2025-08-12,46,男
user_0036,西南,2025-03-30,43,男
user_0037,华北,2024-09-13,27,男
user_0038,华东,2025-01-16,43,男
user_0039,华中,2025-06-20,51,女
user_0040,华北,2026-03-03,58,女
user_0041,华东,2025-08-16,24,女
user_0042,华南,2025-06-26,21,女
user_0043,华东,2024-07-29,62,女
user_0044,西北,2025-06-19,28,女
user_0045,华北,2024-12-04,46,女
user_0046,华中,2025-01-01,53,女
user_0047,华北,2024-06-09,42,男
user_0048,华南,2024-10-30,38,男
user_0049,华南,2024-09-29,53,男
user_0050,华东,2025-09-19,27,女
user_0051,东北,2026-02-09,54,女
user_0052,华中,2024-11-03,26,男
user_0053,西北,2026-03-13,41,女
user_0054,西北,2025-10-09,52,女
user_0055,华南,2025-08-22,52,男
user_0056,西北,2025-10-23,53,男
user_0057,华东,2024-12-08,35,女
user_0058,华东,2026-02-12,56,男
user_0059,华东,2025-03-22,49,女
user_0060,华北,2024-10-28,41,男
user_0061,华北,2025-12-21,40,女
user_0062,华北,2026-02-21,49,女
user_0063,西南,2025-06-23,54,女
user_0064,华北,2025-04-15,29,女
user_0065,华北,2024-11-18,30,男
user_0066,华南,2025-06-01,40,男
user_0067,华东,2025-09-30,42,男
user_0068,西南,2024-07-31,52,女
user_0069,华东,2025-12-21,58,女
user_0070,东北,2024-04-29,47,女
user_0071,华中,2025-12-04,34,男
user_0072,华东,2025-09-20,37,男
user_0073,华东,2025-07-20,42,男
user_0074,西南,2025-10-20,39,男
user_0075,华中,2025-07-17,30,女
user_0076,华中,2025-05-11,36,男
user_0077,华中,2025-11-22,53,男
user_0078,华东,2026-03-12,29,女
user_0079,华北,2024-09-10,58,男
user_0080,华东,2024-09-06,36,男
user_0081,西南,2025-05-11,29,女
user_0082,华南,2024-05-13,26,男
user_0083,华北,2024-07-12,24,女
user_0084,华东,2025-06-15,45,女
user_0085,华北,2024-06-05,31,女
user_0086,华北,2024-06-29,48,男
user_0087,华中,2025-10-26,36,女
user_0088,华中,2024-11-25,64,男
user_0089,西北,2025-03-09,33,男
user_0090,华南,2025-12-16,22,男
user_0091,华东,2025-03-02,52,女
user_0092,华中,2025-07-27,29,男
user_0093,华中,2025-10-05,42,男
user_0094,华南,2026-02-19,38,女
user_0095,华中,2024-12-08,53,男
user_0096,华南,2024-05-17,40,男
user_0097,华南,2024-10-08,33,男
user_0098,华北,2025-02-15,56,男
user_0099,华东,2024-10-21,62,男
user_0100,华东,2024-11-09,59,男
user_0101,华东,2026-02-22,56,女
user_0102,华中,2024-05-14,31,男
user_0103,华北,2026-03-10,48,男
user_0104,华南,2025-05-13,22,女
user_0105,西北,2024-11-03,52,男
